place,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,rate19,rate20,rate21,moredata
West Valley ^LAPD^,15527,17166,17197,16577,14181,13797,14353,13481,13422,12217,10924,10077,8983,7885,7949,8952,10307,10814,10327,9652,8013,8472,4792.5,3978.6,4206.6,<a href='https://abcotvdata.github.io/safetytracker_losangeles/Los_Angeles_Safety_Tracker.html'>Live data available.</a>.
Wilshire ^LAPD^,15527,17166,17197,16577,14181,13797,14353,13481,13422,12217,10924,10077,8983,7885,7949,8952,10307,10814,10327,9652,8013,8472,6300.3,5230.4,5530,<a href='https://abcotvdata.github.io/safetytracker_losangeles/Los_Angeles_Safety_Tracker.html'>Live data available.</a>.
Altadena ^LASD^,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Avalon ^LASD^,1,0,1,4,1,3,2,5,3,2,0,2,3,2,1,1,0,0,0,0,0,0,0,0,0,NA
Avalon ^LASD^,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carson ^LASD^,179,187,209,207,192,221,268,220,215,164,130,106,142,148,115,115,165,166,131,122,98,111,127.7,102.6,116.2,NA
Carson ^LASD^,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Century ^LASD^,276,283,310,307,229,258,258,274,234,242,271,283,211,189,186,149,197,220,180,218,157,175,323.4,232.9,259.6,NA
Century ^LASD^,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cerritos ^LASD^,119,94,86,97,73,97,115,78,90,50,49,51,67,42,50,46,48,71,91,65,39,56,131,78.6,112.9,NA
Compton ^LASD^,544,641,482,444,466,474,534,466,595,509,477,380,428,360,353,332,365,441,424,427,284,237,446.2,296.8,247.6,NA
Compton ^LASD^,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crescenta Valley ^LASD^,16,8,9,7,18,9,5,7,7,9,7,3,4,3,4,6,5,6,4,6,4,2,29.1,19.4,9.7,NA
Crescenta Valley ^LASD^,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
East Los Angeles ^LASD^,64,74,81,59,51,64,56,67,59,68,54,46,53,39,34,28,56,40,48,49,43,53,385.8,338.6,417.3,NA
East Los Angeles ^LASD^,39,37,40,46,46,44,41,61,60,66,65,60,57,38,22,22,25,29,32,29,23,22,127.8,101.3,96.9,NA
East Los Angeles ^LASD^,62,74,55,53,61,70,44,88,92,67,47,54,56,32,35,18,39,39,26,23,40,28,91.6,159.4,111.6,NA
East Los Angeles ^LASD^,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Industry ^LASD^,64,54,52,57,75,63,66,60,56,47,38,22,34,18,35,29,40,36,50,41,28,39,6833.3,4666.7,6500,NA
Industry ^LASD^,0,0,1,0,2,0,1,2,2,2,0,1,0,0,0,0,2,1,2,1,0,0,17.5,0,0,NA
Industry ^LASD^,63,62,62,61,75,57,76,79,117,69,49,44,42,48,50,35,45,43,41,53,38,49,139.5,100,128.9,NA
Industry ^LASD^,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lakewood ^LASD^,58,49,46,34,43,33,42,43,27,20,33,31,27,28,26,30,30,31,34,28,15,24,170.7,91.5,146.3,NA
Lakewood ^LASD^,181,208,222,219,218,247,236,244,228,243,176,116,135,105,97,152,160,158,118,107,113,91,135.1,142.7,114.9,NA
Lakewood ^LASD^,55,50,43,66,46,70,44,75,68,35,32,30,21,21,25,24,27,30,24,24,15,33,170.2,106.4,234,NA
Lakewood ^LASD^,148,156,132,146,186,193,220,248,225,173,128,98,102,110,78,93,113,151,118,104,86,76,126.1,104.2,92.1,NA
Lakewood ^LASD^,181,181,186,182,205,221,155,198,189,193,185,129,129,122,98,121,150,125,137,151,103,88,282.2,192.5,164.5,NA
Lakewood ^LASD^,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lancaster ^LASD^,230,263,313,322,321,347,432,435,354,322,255,273,313,261,249,326,340,337,298,374,257,261,219.7,151,153.3,NA
Lancaster ^LASD^,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lomita ^LASD^,29,29,34,38,16,28,49,34,34,24,21,24,30,17,17,17,27,13,11,26,14,12,124.4,67,57.4,NA
Lomita ^LASD^,11,11,13,8,10,4,10,8,13,8,5,11,6,7,8,12,6,7,5,2,6,12,4.7,14.2,28.4,NA
Lomita ^LASD^,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Lomita ^LASD^,5,4,9,9,4,4,1,9,8,5,3,3,1,1,3,4,8,1,2,3,3,3,36.6,36.6,36.6,NA
Lomita ^LASD^,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malibu/Lost Hills ^LASD^,10,3,11,9,6,9,7,9,9,6,1,3,1,10,3,6,3,4,8,4,7,9,19.7,34.5,44.3,NA
Malibu/Lost Hills ^LASD^,5,5,7,4,13,5,3,7,6,6,3,3,3,6,6,9,3,9,3,15,14,15,64.7,60.3,64.7,NA
Malibu/Lost Hills ^LASD^,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,58.8,NA
Malibu/Lost Hills ^LASD^,8,3,5,8,6,3,7,1,7,3,6,2,5,11,3,7,13,6,9,16,7,15,150.9,66,141.5,NA
Malibu/Lost Hills ^LASD^,5,0,6,1,4,3,0,4,2,3,2,2,1,3,1,2,2,4,6,6,3,4,75,37.5,50,NA
Malibu/Lost Hills ^LASD^,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marina Del Rey ^LASD^,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Norwalk ^LASD^,40,34,57,46,36,41,41,39,37,22,31,20,20,14,22,22,27,34,22,28,26,23,58.3,54.2,47.9,NA
Norwalk ^LASD^,201,219,194,201,182,189,240,211,209,178,159,138,171,150,110,131,139,133,132,138,129,85,134.2,125.5,82.7,NA
Norwalk ^LASD^,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palmdale ^LASD^,179,178,245,284,308,318,341,360,304,264,261,246,224,257,230,251,222,218,161,194,153,143,114.6,90.4,84.5,NA
Palmdale ^LASD^,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pico Rivera ^LASD^,96,113,93,82,119,117,104,95,102,84,97,87,92,65,89,74,72,75,77,67,56,68,107.9,90.2,109.5,NA
Pico Rivera ^LASD^,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Dimas ^LASD^,29,27,27,33,35,23,33,23,20,33,28,17,14,18,14,29,24,24,22,15,25,19,43,71.6,54.4,NA
San Dimas ^LASD^,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Santa Clarita Valley ^LASD^,83,79,90,97,113,106,130,112,128,129,123,76,96,97,92,124,122,122,94,89,71,70,42.2,33.6,33.2,NA
Santa Clarita Valley ^LASD^,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Los Angeles ^LASD^,118,113,89,81,80,80,76,120,113,82,67,72,51,51,49,62,71,66,30,40,50,40,126.2,157.7,126.2,NA
South Los Angeles ^LASD^,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Temple ^LASD^,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,111.1,0,0,NA
Temple ^LASD^,31,28,32,35,28,20,44,29,28,21,24,16,17,19,12,19,19,18,19,10,10,15,46.1,46.1,69.1,NA
Temple ^LASD^,110,106,103,107,98,75,112,140,98,114,79,69,54,65,53,73,73,59,87,74,70,69,144.8,137,135,NA
Temple ^LASD^,3,2,4,0,1,0,3,0,1,0,4,1,1,1,0,3,3,1,0,0,3,1,0,26.5,8.8,NA
Temple ^LASD^,48,58,52,45,34,41,46,43,46,69,45,41,38,35,34,27,44,35,33,32,29,41,162.4,147.2,208.1,NA
Temple ^LASD^,31,27,25,17,25,31,27,35,21,20,17,20,16,11,11,24,15,20,22,23,13,17,62.8,35.5,46.4,NA
Temple ^LASD^,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Walnut/Diamond Bar ^LASD^,32,31,41,27,28,38,49,55,42,40,14,24,17,25,13,28,22,25,30,25,17,18,45.4,30.9,32.7,NA
Walnut/Diamond Bar ^LASD^,19,14,16,19,24,21,25,22,18,21,4,8,10,10,8,17,7,8,9,14,11,11,49.3,38.7,38.7,NA
Walnut/Diamond Bar ^LASD^,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
West Hollywood ^LASD^,155,147,174,170,139,167,129,141,158,115,154,125,134,68,95,90,119,122,127,139,82,112,387.2,228.4,312,NA
West Hollywood ^LASD^,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alhambra ^OTHER^,144,145,142,156,115,154,158,192,156,133,82,57,66,81,83,74,73,89,88,89,67,61,107.4,80.8,73.6,NA
Arcadia ^OTHER^,58,63,69,55,56,61,73,71,62,50,36,24,22,37,24,31,44,56,41,35,20,40,61.9,35.4,70.8,NA
Azusa ^OTHER^,48,69,73,74,90,47,43,56,68,78,63,49,41,36,30,49,46,44,63,46,52,61,92.6,104.6,122.7,NA
Baldwin Park ^OTHER^,125,102,101,87,99,100,123,105,106,112,102,90,73,74,56,77,73,89,71,50,36,47,69.4,50,65.3,NA
Bell ^OTHER^,80,94,83,59,52,65,64,82,71,89,90,101,95,81,73,70,57,78,45,37,34,40,110.4,101.5,119.4,NA
Bell Gardens ^OTHER^,135,104,107,79,90,73,77,81,115,112,112,78,67,56,41,51,64,47,53,69,63,35,174.2,159.1,88.4,NA
Beverly Hills ^OTHER^,66,85,80,73,82,58,82,81,61,45,35,34,35,29,45,40,49,50,42,52,48,54,158.5,146.3,164.6,NA
Burbank ^OTHER^,86,122,100,69,82,67,75,98,86,93,98,68,111,51,55,50,50,86,77,54,48,74,50.3,44.7,69,NA
Claremont ^OTHER^,32,31,35,29,26,30,29,41,27,31,26,19,19,23,16,15,28,30,19,23,22,17,61.7,59,45.6,NA
Covina ^OTHER^,104,93,78,95,97,85,68,98,59,68,77,43,55,52,48,33,48,51,67,43,42,62,84,82,121.1,NA
Culver City ^OTHER^,114,121,101,131,113,130,164,135,103,125,94,74,96,88,70,78,137,131,109,102,68,100,250,166.7,245.1,NA
Downey ^OTHER^,177,208,195,216,238,250,249,289,252,234,199,204,190,171,127,173,188,182,185,151,107,132,132,93.5,115.4,NA
El Monte ^OTHER^,331,281,265,217,234,241,187,235,265,304,265,196,203,155,164,143,167,183,149,126,122,98,115.3,111.6,89.7,NA
El Segundo ^OTHER^,19,23,21,27,22,17,16,17,22,17,17,15,15,19,15,22,25,21,22,30,31,27,173.4,179.2,156.1,NA
El Segundo ^OTHER^,346,334,307,294,154,225,265,378,378,354,281,302,307,299,336,246,298,275,232,190,165,205,13571.4,11785.7,14642.9,NA
Gardena ^OTHER^,376,280,288,269,263,295,290,287,229,216,202,139,167,144,164,149,160,218,160,131,104,87,214.8,170.5,142.6,NA
Glendale ^OTHER^,182,180,186,146,133,136,167,166,151,126,119,108,108,75,67,75,84,127,77,93,87,113,47.3,44.3,57.5,NA
Glendora ^OTHER^,28,36,28,29,42,24,22,32,27,28,24,35,27,30,14,25,16,33,26,38,20,23,72.8,38.3,44.1,NA
Hawthorne ^OTHER^,346,334,307,294,154,225,265,378,378,354,281,302,307,299,336,246,298,275,232,190,165,205,219.4,190.5,236.7,NA
Hermosa Beach ^OTHER^,13,17,17,15,19,10,17,19,25,30,19,16,18,6,11,12,14,7,5,9,12,10,45.7,60.9,50.8,NA
Huntington Park ^OTHER^,425,299,287,320,295,357,346,379,378,381,394,317,243,197,222,177,216,197,214,249,209,210,453.6,380.7,382.5,NA
Inglewood ^OTHER^,575,639,507,581,461,555,481,518,494,485,381,343,373,326,371,358,406,389,312,358,264,239,332.1,244.9,221.7,NA
Irwindale ^OTHER^,6,10,4,7,7,5,4,16,8,8,5,2,5,4,5,8,6,7,6,8,3,6,470.6,176.5,352.9,NA
La Verne ^OTHER^,18,20,26,23,31,23,23,39,20,27,18,13,15,21,14,18,10,27,11,13,11,9,41.7,35.3,28.8,NA
Long Beach ^OTHER^,1519,1417,1505,1411,1533,1403,1440,1506,1487,1381,1202,1320,1239,1118,889,1054,1138,1237,979,958,721,765,205.4,154.6,164.1,NA
Manhattan Beach ^OTHER^,36,53,34,25,31,32,24,29,29,27,21,10,29,34,20,36,32,36,27,33,25,27,93,70.4,76.1,NA
Monrovia ^OTHER^,46,63,51,38,53,54,49,54,46,45,26,34,36,23,22,19,19,26,31,16,25,17,42.1,65.8,44.7,NA
Montebello ^OTHER^,122,136,126,88,132,125,122,116,110,112,92,97,67,81,71,73,114,82,109,90,59,47,143.5,94.1,75,NA
Monterey Park ^OTHER^,96,135,114,99,97,89,108,126,78,95,57,60,42,60,41,57,59,55,73,59,51,51,96.6,83.5,83.5,NA
Palos Verdes Estates ^OTHER^,5,3,1,0,1,1,0,0,0,2,1,1,0,0,0,4,1,2,4,1,1,1,7.5,7.5,7.5,NA
Pasadena ^OTHER^,311,268,255,265,298,285,247,303,260,182,189,181,172,162,126,131,164,202,174,147,118,115,105.9,85,82.9,NA
Pomona ^OTHER^,343,418,448,422,349,385,464,485,463,344,323,339,377,295,241,291,295,344,361,342,271,302,225.4,178.6,199.1,NA
Redondo Beach ^OTHER^,79,61,70,69,63,68,85,85,78,90,68,54,51,43,44,70,58,62,53,53,54,72,74,75.4,100.6,NA
San Fernando ^OTHER^,60,77,49,54,63,54,44,51,44,38,24,36,25,28,24,32,38,34,37,25,27,35,104.6,113,146.4,NA
San Gabriel ^OTHER^,67,96,62,85,81,99,95,118,80,71,37,41,34,31,29,40,38,40,51,58,22,33,146.8,55.7,83.5,NA
San Marino ^OTHER^,3,2,7,10,7,7,3,7,6,3,1,3,3,3,3,4,7,6,2,3,2,2,24,16,16,NA
Santa Monica ^OTHER^,266,313,299,242,244,241,256,236,218,162,167,129,151,120,120,172,189,241,278,247,167,157,265.6,179.6,168.8,NA
Sierra Madre ^OTHER^,3,2,4,0,1,0,3,0,1,0,4,1,1,1,0,3,3,1,0,0,3,1,0,26.5,8.8,NA
Signal Hill ^OTHER^,30,20,29,34,28,30,33,20,22,19,17,13,15,14,21,31,29,34,37,27,24,29,228.8,203.4,245.8,NA
South Gate ^OTHER^,317,364,334,289,290,305,271,321,344,360,326,269,265,223,217,199,250,223,192,179,174,181,193.3,187.9,195.5,NA
South Pasadena ^OTHER^,25,32,18,29,34,28,23,24,23,20,13,14,13,16,10,22,10,9,19,11,17,10,40.9,63.2,37.2,NA
Torrance ^OTHER^,175,210,211,216,149,211,203,213,175,139,152,91,92,76,73,85,119,116,107,114,105,108,77.6,71.4,73.5,NA
Vernon ^OTHER^,42,43,46,39,30,28,32,32,36,35,18,19,16,13,10,12,18,20,13,12,28,14,4000,9333.3,4666.7,NA
West Covina ^OTHER^,149,152,136,178,152,150,200,178,168,152,120,124,108,106,87,99,110,144,150,129,72,92,118,65.9,84.2,NA
Whittier ^OTHER^,83,62,65,44,71,77,61,66,65,53,38,45,42,28,40,42,36,48,39,42,31,27,217.6,160.6,139.9,NA
Whittier ^OTHER^,78,122,105,86,118,125,118,145,105,94,96,100,81,73,96,90,97,137,99,93,80,82,106.5,91.6,93.9,NA
