place,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,rate19,rate20,rate21,moredata
77th Street ^LAPD^,15527,17166,17197,16577,14181,13797,14353,13481,13422,12217,10924,10077,8983,7885,7949,8952,10307,10814,10327,9652,8013,8472,5158.7,4282.7,4528.1,<a href='https://abcotvdata.github.io/safetytracker_losangeles/Los_Angeles_Safety_Tracker.html'>Live data available.</a>.
Central ^LAPD^,15527,17166,17197,16577,14181,13797,14353,13481,13422,12217,10924,10077,8983,7885,7949,8952,10307,10814,10327,9652,8013,8472,11842.9,9831.9,10395.1,<a href='https://abcotvdata.github.io/safetytracker_losangeles/Los_Angeles_Safety_Tracker.html'>Live data available.</a>.
Devonshire ^LAPD^,15527,17166,17197,16577,14181,13797,14353,13481,13422,12217,10924,10077,8983,7885,7949,8952,10307,10814,10327,9652,8013,8472,4198.3,3485.4,3685.1,<a href='https://abcotvdata.github.io/safetytracker_losangeles/Los_Angeles_Safety_Tracker.html'>Live data available.</a>.
Foothill ^LAPD^,15527,17166,17197,16577,14181,13797,14353,13481,13422,12217,10924,10077,8983,7885,7949,8952,10307,10814,10327,9652,8013,8472,4924.5,4088.3,4322.4,<a href='https://abcotvdata.github.io/safetytracker_losangeles/Los_Angeles_Safety_Tracker.html'>Live data available.</a>.
Harbor ^LAPD^,15527,17166,17197,16577,14181,13797,14353,13481,13422,12217,10924,10077,8983,7885,7949,8952,10307,10814,10327,9652,8013,8472,5338.5,4432,4685.8,<a href='https://abcotvdata.github.io/safetytracker_losangeles/Los_Angeles_Safety_Tracker.html'>Live data available.</a>.
Hollenbeck ^LAPD^,15527,17166,17197,16577,14181,13797,14353,13481,13422,12217,10924,10077,8983,7885,7949,8952,10307,10814,10327,9652,8013,8472,5687.7,4721.9,4992.3,<a href='https://abcotvdata.github.io/safetytracker_losangeles/Los_Angeles_Safety_Tracker.html'>Live data available.</a>.
Hollywood ^LAPD^,15527,17166,17197,16577,14181,13797,14353,13481,13422,12217,10924,10077,8983,7885,7949,8952,10307,10814,10327,9652,8013,8472,7401.8,6144.9,6496.9,<a href='https://abcotvdata.github.io/safetytracker_losangeles/Los_Angeles_Safety_Tracker.html'>Live data available.</a>.
Mission ^LAPD^,15527,17166,17197,16577,14181,13797,14353,13481,13422,12217,10924,10077,8983,7885,7949,8952,10307,10814,10327,9652,8013,8472,3870.1,3212.9,3397,<a href='https://abcotvdata.github.io/safetytracker_losangeles/Los_Angeles_Safety_Tracker.html'>Live data available.</a>.
Newton ^LAPD^,15527,17166,17197,16577,14181,13797,14353,13481,13422,12217,10924,10077,8983,7885,7949,8952,10307,10814,10327,9652,8013,8472,6460.5,5363.5,5670.7,<a href='https://abcotvdata.github.io/safetytracker_losangeles/Los_Angeles_Safety_Tracker.html'>Live data available.</a>.
North Hollywood ^LAPD^,15527,17166,17197,16577,14181,13797,14353,13481,13422,12217,10924,10077,8983,7885,7949,8952,10307,10814,10327,9652,8013,8472,4583.1,3804.8,4022.8,<a href='https://abcotvdata.github.io/safetytracker_losangeles/Los_Angeles_Safety_Tracker.html'>Live data available.</a>.
Northeast ^LAPD^,15527,17166,17197,16577,14181,13797,14353,13481,13422,12217,10924,10077,8983,7885,7949,8952,10307,10814,10327,9652,8013,8472,4435.7,3682.4,3893.4,<a href='https://abcotvdata.github.io/safetytracker_losangeles/Los_Angeles_Safety_Tracker.html'>Live data available.</a>.
Olympic ^LAPD^,15527,17166,17197,16577,14181,13797,14353,13481,13422,12217,10924,10077,8983,7885,7949,8952,10307,10814,10327,9652,8013,8472,5254.2,4362,4611.9,<a href='https://abcotvdata.github.io/safetytracker_losangeles/Los_Angeles_Safety_Tracker.html'>Live data available.</a>.
Pacific ^LAPD^,15527,17166,17197,16577,14181,13797,14353,13481,13422,12217,10924,10077,8983,7885,7949,8952,10307,10814,10327,9652,8013,8472,4437.7,3684.1,3895.2,<a href='https://abcotvdata.github.io/safetytracker_losangeles/Los_Angeles_Safety_Tracker.html'>Live data available.</a>.
Rampart ^LAPD^,15527,17166,17197,16577,14181,13797,14353,13481,13422,12217,10924,10077,8983,7885,7949,8952,10307,10814,10327,9652,8013,8472,6047.6,5020.7,5308.3,<a href='https://abcotvdata.github.io/safetytracker_losangeles/Los_Angeles_Safety_Tracker.html'>Live data available.</a>.
Southeast ^LAPD^,15527,17166,17197,16577,14181,13797,14353,13481,13422,12217,10924,10077,8983,7885,7949,8952,10307,10814,10327,9652,8013,8472,6409,5320.7,5625.5,<a href='https://abcotvdata.github.io/safetytracker_losangeles/Los_Angeles_Safety_Tracker.html'>Live data available.</a>.
Southwest ^LAPD^,15527,17166,17197,16577,14181,13797,14353,13481,13422,12217,10924,10077,8983,7885,7949,8952,10307,10814,10327,9652,8013,8472,5003.6,4154,4391.9,<a href='https://abcotvdata.github.io/safetytracker_losangeles/Los_Angeles_Safety_Tracker.html'>Live data available.</a>.
Topanga ^LAPD^,15527,17166,17197,16577,14181,13797,14353,13481,13422,12217,10924,10077,8983,7885,7949,8952,10307,10814,10327,9652,8013,8472,4660.6,3869.1,4090.8,<a href='https://abcotvdata.github.io/safetytracker_losangeles/Los_Angeles_Safety_Tracker.html'>Live data available.</a>.
Van Nuys ^LAPD^,15527,17166,17197,16577,14181,13797,14353,13481,13422,12217,10924,10077,8983,7885,7949,8952,10307,10814,10327,9652,8013,8472,5136.8,4264.5,4508.8,<a href='https://abcotvdata.github.io/safetytracker_losangeles/Los_Angeles_Safety_Tracker.html'>Live data available.</a>.
West Los Angeles ^LAPD^,15527,17166,17197,16577,14181,13797,14353,13481,13422,12217,10924,10077,8983,7885,7949,8952,10307,10814,10327,9652,8013,8472,3981.8,3305.7,3495,<a href='https://abcotvdata.github.io/safetytracker_losangeles/Los_Angeles_Safety_Tracker.html'>Live data available.</a>.
