place,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,rate19,rate20,rate21,moredata
77th Street ^LAPD^,29640,31819,34110,33555,29973,28721,25389,23524,22623,18391,17046,15597,15084,14382,13788,16152,18591,19193,17316,15642,21169,24307,8360.2,11314.3,12991.4,<a href='https://abcotvdata.github.io/safetytracker_losangeles/Los_Angeles_Safety_Tracker.html'>Live data available.</a>.
Central ^LAPD^,29640,31819,34110,33555,29973,28721,25389,23524,22623,18391,17046,15597,15084,14382,13788,16152,18591,19193,17316,15642,21169,24307,19192.6,25974.2,29824.5,<a href='https://abcotvdata.github.io/safetytracker_losangeles/Los_Angeles_Safety_Tracker.html'>Live data available.</a>.
Devonshire ^LAPD^,29640,31819,34110,33555,29973,28721,25389,23524,22623,18391,17046,15597,15084,14382,13788,16152,18591,19193,17316,15642,21169,24307,6803.8,9207.9,10572.9,<a href='https://abcotvdata.github.io/safetytracker_losangeles/Los_Angeles_Safety_Tracker.html'>Live data available.</a>.
Foothill ^LAPD^,29640,31819,34110,33555,29973,28721,25389,23524,22623,18391,17046,15597,15084,14382,13788,16152,18591,19193,17316,15642,21169,24307,7980.6,10800.5,12401.5,<a href='https://abcotvdata.github.io/safetytracker_losangeles/Los_Angeles_Safety_Tracker.html'>Live data available.</a>.
Harbor ^LAPD^,29640,31819,34110,33555,29973,28721,25389,23524,22623,18391,17046,15597,15084,14382,13788,16152,18591,19193,17316,15642,21169,24307,8651.5,11708.5,13444.1,<a href='https://abcotvdata.github.io/safetytracker_losangeles/Los_Angeles_Safety_Tracker.html'>Live data available.</a>.
Hollenbeck ^LAPD^,29640,31819,34110,33555,29973,28721,25389,23524,22623,18391,17046,15597,15084,14382,13788,16152,18591,19193,17316,15642,21169,24307,9217.4,12474.4,14323.5,<a href='https://abcotvdata.github.io/safetytracker_losangeles/Los_Angeles_Safety_Tracker.html'>Live data available.</a>.
Hollywood ^LAPD^,29640,31819,34110,33555,29973,28721,25389,23524,22623,18391,17046,15597,15084,14382,13788,16152,18591,19193,17316,15642,21169,24307,11995.4,16233.9,18640.3,<a href='https://abcotvdata.github.io/safetytracker_losangeles/Los_Angeles_Safety_Tracker.html'>Live data available.</a>.
Mission ^LAPD^,29640,31819,34110,33555,29973,28721,25389,23524,22623,18391,17046,15597,15084,14382,13788,16152,18591,19193,17316,15642,21169,24307,6271.9,8488,9746.2,<a href='https://abcotvdata.github.io/safetytracker_losangeles/Los_Angeles_Safety_Tracker.html'>Live data available.</a>.
Newton ^LAPD^,29640,31819,34110,33555,29973,28721,25389,23524,22623,18391,17046,15597,15084,14382,13788,16152,18591,19193,17316,15642,21169,24307,10469.9,14169.3,16269.7,<a href='https://abcotvdata.github.io/safetytracker_losangeles/Los_Angeles_Safety_Tracker.html'>Live data available.</a>.
North Hollywood ^LAPD^,29640,31819,34110,33555,29973,28721,25389,23524,22623,18391,17046,15597,15084,14382,13788,16152,18591,19193,17316,15642,21169,24307,7427.4,10051.8,11541.8,<a href='https://abcotvdata.github.io/safetytracker_losangeles/Los_Angeles_Safety_Tracker.html'>Live data available.</a>.
Northeast ^LAPD^,29640,31819,34110,33555,29973,28721,25389,23524,22623,18391,17046,15597,15084,14382,13788,16152,18591,19193,17316,15642,21169,24307,7188.4,9728.4,11170.5,<a href='https://abcotvdata.github.io/safetytracker_losangeles/Los_Angeles_Safety_Tracker.html'>Live data available.</a>.
Olympic ^LAPD^,29640,31819,34110,33555,29973,28721,25389,23524,22623,18391,17046,15597,15084,14382,13788,16152,18591,19193,17316,15642,21169,24307,8515,11523.7,13231.9,<a href='https://abcotvdata.github.io/safetytracker_losangeles/Los_Angeles_Safety_Tracker.html'>Live data available.</a>.
Pacific ^LAPD^,29640,31819,34110,33555,29973,28721,25389,23524,22623,18391,17046,15597,15084,14382,13788,16152,18591,19193,17316,15642,21169,24307,7191.7,9732.9,11175.6,<a href='https://abcotvdata.github.io/safetytracker_losangeles/Los_Angeles_Safety_Tracker.html'>Live data available.</a>.
Rampart ^LAPD^,29640,31819,34110,33555,29973,28721,25389,23524,22623,18391,17046,15597,15084,14382,13788,16152,18591,19193,17316,15642,21169,24307,9800.8,13263.8,15229.9,<a href='https://abcotvdata.github.io/safetytracker_losangeles/Los_Angeles_Safety_Tracker.html'>Live data available.</a>.
