place,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,rate19,rate20,rate21,moredata
Southeast ^LAPD^,29640,31819,34110,33555,29973,28721,25389,23524,22623,18391,17046,15597,15084,14382,13788,16152,18591,19193,17316,15642,21169,24307,10386.5,14056.4,16140.1,<a href='https://abcotvdata.github.io/safetytracker_losangeles/Los_Angeles_Safety_Tracker.html'>Live data available.</a>.
Southwest ^LAPD^,29640,31819,34110,33555,29973,28721,25389,23524,22623,18391,17046,15597,15084,14382,13788,16152,18591,19193,17316,15642,21169,24307,8108.9,10974.1,12600.8,<a href='https://abcotvdata.github.io/safetytracker_losangeles/Los_Angeles_Safety_Tracker.html'>Live data available.</a>.
Topanga ^LAPD^,29640,31819,34110,33555,29973,28721,25389,23524,22623,18391,17046,15597,15084,14382,13788,16152,18591,19193,17316,15642,21169,24307,7552.9,10221.6,11736.8,<a href='https://abcotvdata.github.io/safetytracker_losangeles/Los_Angeles_Safety_Tracker.html'>Live data available.</a>.
Van Nuys ^LAPD^,29640,31819,34110,33555,29973,28721,25389,23524,22623,18391,17046,15597,15084,14382,13788,16152,18591,19193,17316,15642,21169,24307,8324.6,11266.1,12936.1,<a href='https://abcotvdata.github.io/safetytracker_losangeles/Los_Angeles_Safety_Tracker.html'>Live data available.</a>.
West Los Angeles ^LAPD^,29640,31819,34110,33555,29973,28721,25389,23524,22623,18391,17046,15597,15084,14382,13788,16152,18591,19193,17316,15642,21169,24307,6453,8733.1,10027.6,<a href='https://abcotvdata.github.io/safetytracker_losangeles/Los_Angeles_Safety_Tracker.html'>Live data available.</a>.
West Valley ^LAPD^,29640,31819,34110,33555,29973,28721,25389,23524,22623,18391,17046,15597,15084,14382,13788,16152,18591,19193,17316,15642,21169,24307,7766.6,10510.9,12069,<a href='https://abcotvdata.github.io/safetytracker_losangeles/Los_Angeles_Safety_Tracker.html'>Live data available.</a>.
Wilshire ^LAPD^,29640,31819,34110,33555,29973,28721,25389,23524,22623,18391,17046,15597,15084,14382,13788,16152,18591,19193,17316,15642,21169,24307,10210.2,13817.9,15866.2,<a href='https://abcotvdata.github.io/safetytracker_losangeles/Los_Angeles_Safety_Tracker.html'>Live data available.</a>.
Altadena ^LASD^,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Avalon ^LASD^,70,66,93,75,41,58,64,39,27,16,16,9,12,18,9,5,1,10,5,5,8,3,147.1,235.3,88.2,NA
Avalon ^LASD^,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carson ^LASD^,627,748,703,723,638,589,702,583,650,467,464,559,550,489,389,395,522,510,445,399,529,766,417.8,553.9,802.1,NA
Carson ^LASD^,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Century ^LASD^,649,612,666,747,798,1037,844,949,864,661,494,468,520,554,593,642,767,700,554,507,669,963,752.2,992.6,1428.8,NA
Century ^LASD^,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cerritos ^LASD^,472,452,441,383,377,280,296,305,270,217,228,165,176,218,181,221,220,196,163,122,146,277,246,294.4,558.5,NA
Compton ^LASD^,871,898,794,801,968,1006,902,1135,1028,928,714,863,819,799,711,767,790,770,848,727,838,1092,759.7,875.7,1141.1,NA
Compton ^LASD^,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crescenta Valley ^LASD^,13,22,22,14,28,20,12,21,17,17,13,12,16,11,8,12,14,20,13,11,20,11,53.4,97.1,53.4,NA
Crescenta Valley ^LASD^,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
East Los Angeles ^LASD^,412,352,396,416,433,443,400,368,414,285,332,325,264,277,258,349,360,345,241,252,358,570,1984.3,2818.9,4488.2,NA
East Los Angeles ^LASD^,133,154,186,209,207,221,174,199,182,169,118,127,78,82,73,82,78,80,73,64,109,137,281.9,480.2,603.5,NA
East Los Angeles ^LASD^,137,122,163,203,171,232,152,188,214,183,147,133,81,136,100,144,167,139,123,93,197,146,370.5,784.9,581.7,NA
East Los Angeles ^LASD^,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Industry ^LASD^,460,404,352,432,382,381,456,394,303,212,213,234,214,226,209,178,218,148,137,125,134,188,20833.3,22333.3,31333.3,NA
Industry ^LASD^,8,4,5,6,17,9,13,8,2,2,7,4,2,2,0,3,8,6,1,5,8,3,87.7,140.4,52.6,NA
Industry ^LASD^,187,171,191,254,288,258,281,213,173,164,141,164,158,125,131,127,164,162,147,126,122,159,331.6,321.1,418.4,NA
Industry ^LASD^,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lakewood ^LASD^,82,106,105,83,87,67,51,64,76,52,44,45,28,55,48,111,74,71,48,33,51,91,201.2,311,554.9,NA
Lakewood ^LASD^,491,586,689,673,799,853,683,688,665,612,457,444,499,487,383,557,490,505,394,320,518,650,404,654,820.7,NA
Lakewood ^LASD^,82,70,122,107,150,126,104,104,148,45,53,55,52,52,58,61,82,85,51,56,40,71,397.2,283.7,503.5,NA
Lakewood ^LASD^,497,538,519,530,498,490,434,437,374,400,320,263,310,287,226,305,307,259,226,189,267,392,229.1,323.6,475.2,NA
Lakewood ^LASD^,586,549,690,692,740,768,692,678,729,625,487,469,454,504,388,490,393,438,343,284,392,552,530.8,732.7,1031.8,NA
Lakewood ^LASD^,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lancaster ^LASD^,424,516,689,934,1067,1011,1048,845,505,472,439,387,404,403,464,494,613,650,730,638,759,1077,374.9,445.9,632.8,NA
Lancaster ^LASD^,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lomita ^LASD^,64,38,60,66,75,58,68,52,64,52,36,37,46,69,49,44,51,71,47,40,49,51,191.4,234.4,244,NA
Lomita ^LASD^,43,32,29,36,41,24,36,37,23,24,18,26,25,36,29,39,33,35,29,12,26,43,28.4,61.5,101.7,NA
Lomita ^LASD^,1,6,0,1,0,0,0,2,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,NA
Lomita ^LASD^,11,7,11,5,9,8,7,4,3,3,6,4,3,7,5,5,5,8,8,9,6,8,109.8,73.2,97.6,NA
Lomita ^LASD^,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malibu/Lost Hills ^LASD^,14,17,36,25,33,24,23,18,23,11,8,13,16,12,12,11,20,20,24,17,34,30,83.7,167.5,147.8,NA
Malibu/Lost Hills ^LASD^,23,41,29,31,19,32,27,28,32,15,18,10,11,7,15,14,23,19,13,24,35,23,103.4,150.9,99.1,NA
Malibu/Lost Hills ^LASD^,0,1,0,0,0,3,0,1,1,1,0,0,0,0,2,1,0,1,2,1,1,0,58.8,58.8,0,NA
Malibu/Lost Hills ^LASD^,25,44,19,41,32,36,29,22,22,20,17,10,19,23,18,21,32,33,29,19,17,53,179.2,160.4,500,NA
Malibu/Lost Hills ^LASD^,7,9,8,8,5,12,6,6,3,6,3,2,12,6,8,6,6,5,8,5,11,8,62.5,137.5,100,NA
Malibu/Lost Hills ^LASD^,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marina Del Rey ^LASD^,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Norwalk ^LASD^,138,166,191,222,275,210,225,168,130,105,111,142,103,114,75,123,121,138,121,93,147,173,193.8,306.2,360.4,NA
Norwalk ^LASD^,758,875,851,794,931,874,797,780,671,609,594,642,533,564,486,428,466,415,394,306,416,549,297.7,404.7,534,NA
Norwalk ^LASD^,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palmdale ^LASD^,501,577,737,849,825,764,690,674,602,487,485,408,290,367,334,455,422,435,503,399,543,525,235.7,320.7,310.1,NA
Palmdale ^LASD^,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pico Rivera ^LASD^,297,315,389,419,460,498,502,470,447,352,329,346,368,335,315,385,457,329,314,273,329,445,439.6,529.8,716.6,NA
Pico Rivera ^LASD^,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Dimas ^LASD^,72,111,77,103,120,126,80,80,70,49,63,39,56,67,54,63,85,77,65,61,89,89,174.8,255,255,NA
San Dimas ^LASD^,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Santa Clarita Valley ^LASD^,250,353,435,473,463,514,425,416,461,327,243,235,304,249,243,298,413,410,295,219,288,342,103.7,136.4,162,NA
Santa Clarita Valley ^LASD^,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Los Angeles ^LASD^,152,166,146,181,208,152,146,161,133,127,138,94,98,96,88,104,159,144,102,100,181,165,315.5,571,520.5,NA
South Los Angeles ^LASD^,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Temple ^LASD^,3,1,0,0,0,1,3,1,0,0,0,1,0,2,0,1,0,0,0,2,1,0,222.2,111.1,0,NA
Temple ^LASD^,80,98,82,72,130,109,93,87,66,68,76,54,69,55,45,66,73,55,67,42,57,75,193.5,262.7,345.6,NA
Temple ^LASD^,310,281,326,515,419,475,366,277,244,231,202,197,218,164,166,321,227,278,284,194,206,223,379.6,403.1,436.4,NA
Temple ^LASD^,4,8,9,8,13,12,10,7,7,7,2,4,6,6,5,10,8,4,2,4,9,7,35.4,79.6,61.9,NA
Temple ^LASD^,150,152,157,219,244,290,276,206,186,131,137,117,111,119,132,163,155,201,163,114,123,206,578.7,624.4,1045.7,NA
Temple ^LASD^,61,57,50,72,76,80,73,57,45,86,36,27,37,33,32,40,38,37,44,34,38,32,92.9,103.8,87.4,NA
Temple ^LASD^,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Walnut/Diamond Bar ^LASD^,154,129,110,157,180,154,121,94,88,86,78,51,73,66,59,97,72,70,55,52,85,97,94.4,154.3,176,NA
Walnut/Diamond Bar ^LASD^,61,69,81,78,98,78,74,63,57,35,40,36,32,36,18,22,31,32,38,27,25,30,95.1,88,105.6,NA
Walnut/Diamond Bar ^LASD^,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
West Hollywood ^LASD^,276,259,279,266,316,262,202,169,143,131,133,119,117,99,86,89,143,104,98,117,102,158,325.9,284.1,440.1,NA
West Hollywood ^LASD^,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alhambra ^OTHER^,414,379,530,620,502,560,457,393,365,305,270,217,255,234,224,211,238,270,256,187,239,300,225.6,288.3,361.9,NA
Arcadia ^OTHER^,117,132,143,170,139,162,166,146,123,132,106,85,74,62,44,64,77,92,79,74,73,96,131,129.2,169.9,NA
Azusa ^OTHER^,202,228,224,253,255,290,253,248,231,190,129,130,161,171,130,196,183,223,185,139,208,189,279.7,418.5,380.3,NA
Baldwin Park ^OTHER^,484,529,493,628,624,628,801,708,591,536,506,403,389,363,316,331,340,327,303,308,276,254,427.8,383.3,352.8,NA
Bell ^OTHER^,230,213,249,241,171,193,196,179,179,151,140,172,91,77,144,135,156,151,109,90,117,146,268.7,349.3,435.8,NA
Bell Gardens ^OTHER^,236,247,342,479,365,377,379,342,412,325,399,348,309,271,270,299,329,320,242,218,265,271,550.5,669.2,684.3,NA
Beverly Hills ^OTHER^,93,79,62,81,61,38,55,52,42,40,45,30,33,41,46,72,73,99,70,45,89,99,137.2,271.3,301.8,NA
Burbank ^OTHER^,553,531,591,466,465,495,471,440,518,335,276,234,199,219,182,223,266,245,214,211,301,333,196.6,280.5,310.3,NA
Claremont ^OTHER^,45,98,85,96,75,75,76,67,54,39,51,42,63,68,41,62,63,68,57,31,72,77,83.1,193,206.4,NA
Covina ^OTHER^,259,326,337,316,399,309,198,196,223,191,194,152,188,157,134,138,164,185,173,171,165,150,334,322.3,293,NA
Culver City ^OTHER^,231,166,162,155,162,138,179,143,146,125,124,107,102,115,109,107,157,108,93,95,166,257,232.8,406.9,629.9,NA
Downey ^OTHER^,810,999,1064,1169,1113,1102,1144,1052,1230,946,928,1053,959,846,792,792,766,765,606,563,694,1061,492.1,606.6,927.4,NA
El Monte ^OTHER^,711,894,805,955,957,1135,933,792,701,759,797,606,578,576,583,680,688,698,504,394,455,520,360.5,416.3,475.8,NA
El Segundo ^OTHER^,95,72,81,102,91,70,68,65,52,49,40,51,50,52,72,48,73,81,64,74,157,148,427.7,907.5,855.5,NA
El Segundo ^OTHER^,599,546,614,581,781,570,649,588,555,388,435,390,468,386,460,535,574,515,347,356,513,612,25428.6,36642.9,43714.3,NA
Gardena ^OTHER^,484,456,401,437,438,426,492,416,382,326,340,269,308,307,269,359,355,362,315,308,470,627,504.9,770.5,1027.9,NA
Glendale ^OTHER^,807,749,735,793,661,614,578,523,506,397,328,323,309,251,268,353,363,317,266,263,433,493,133.8,220.4,250.9,NA
Glendora ^OTHER^,96,118,127,125,169,128,123,103,100,75,75,56,73,71,81,60,72,105,122,73,102,119,139.8,195.4,228,NA
Hawthorne ^OTHER^,599,546,614,581,781,570,649,588,555,388,435,390,468,386,460,535,574,515,347,356,513,612,411.1,592.4,706.7,NA
Hermosa Beach ^OTHER^,58,59,68,45,42,41,36,34,29,43,23,25,46,35,32,41,30,48,31,26,54,45,132,274.1,228.4,NA
Huntington Park ^OTHER^,1077,885,1009,1253,1150,1048,1164,1102,987,815,644,763,658,589,594,796,678,704,590,520,648,731,947.2,1180.3,1331.5,NA
Inglewood ^OTHER^,913,874,970,1230,870,922,1058,924,855,730,703,555,638,640,697,683,790,802,658,657,889,1243,609.5,824.7,1153.1,NA
Irwindale ^OTHER^,51,55,58,48,66,49,70,56,39,48,22,27,41,44,30,19,38,35,35,28,26,46,1647.1,1529.4,2705.9,NA
La Verne ^OTHER^,60,66,58,70,75,72,56,46,28,40,36,31,44,47,45,48,31,66,75,47,63,40,150.6,201.9,128.2,NA
Long Beach ^OTHER^,3577,3946,3742,3748,3826,3743,3284,2860,2872,2361,2189,2212,2630,2355,2081,2830,2859,2729,2279,2358,2780,3404,505.7,596.2,730,NA
Manhattan Beach ^OTHER^,91,102,107,83,86,67,60,50,50,56,50,33,41,36,51,44,53,71,47,43,91,116,121.1,256.3,326.8,NA
Monrovia ^OTHER^,162,128,135,171,184,167,159,139,123,135,125,79,114,86,70,95,76,83,70,72,123,89,189.5,323.7,234.2,NA
Montebello ^OTHER^,537,519,659,632,593,749,666,554,532,440,480,400,435,496,380,503,548,460,476,388,457,425,618.8,728.9,677.8,NA
Monterey Park ^OTHER^,306,308,392,454,508,414,317,251,235,193,226,191,222,209,164,243,246,219,216,159,237,256,260.2,387.9,419,NA
Palos Verdes Estates ^OTHER^,7,11,7,7,7,3,3,8,5,4,3,7,8,4,5,9,7,5,2,3,6,19,22.6,45.1,142.9,NA
Pasadena ^OTHER^,491,508,462,531,539,560,508,486,367,311,378,281,250,287,230,323,324,359,306,260,352,368,187.3,253.6,265.1,NA
Pomona ^OTHER^,1131,1154,1217,1640,1543,1536,1419,1154,1175,1007,1231,973,1110,956,1040,1256,1183,1250,1030,863,1085,1265,568.9,715.2,833.9,NA
Redondo Beach ^OTHER^,235,228,199,206,220,200,132,144,142,128,103,80,107,133,121,165,160,170,132,118,196,197,164.8,273.7,275.1,NA
San Fernando ^OTHER^,204,201,218,206,170,126,143,129,133,102,87,61,90,72,62,120,120,91,99,79,88,110,330.5,368.2,460.3,NA
San Gabriel ^OTHER^,135,118,153,167,168,178,127,87,80,62,60,48,61,56,42,86,57,60,66,45,56,101,113.9,141.8,255.7,NA
San Marino ^OTHER^,7,7,6,6,9,16,9,6,8,4,2,2,4,1,6,12,7,2,1,5,9,7,40,72,56,NA
Santa Monica ^OTHER^,481,515,492,466,418,422,394,327,243,264,166,188,178,165,177,221,236,264,235,244,391,417,262.4,420.4,448.4,NA
Sierra Madre ^OTHER^,4,8,9,8,13,12,10,7,7,7,2,4,6,6,5,10,8,4,2,4,9,7,35.4,79.6,61.9,NA
Signal Hill ^OTHER^,121,128,116,89,100,102,63,64,58,58,67,60,87,80,64,90,113,135,112,77,133,146,652.5,1127.1,1237.3,NA
South Gate ^OTHER^,977,1067,1182,1424,1295,1289,1246,1375,1293,1124,824,1181,918,913,827,1051,999,933,645,740,870,999,799.1,939.5,1078.8,NA
South Pasadena ^OTHER^,102,95,96,98,75,98,89,90,78,64,54,58,48,51,32,31,58,59,59,38,92,64,141.3,342,237.9,NA
Torrance ^OTHER^,676,631,637,754,589,505,507,458,453,398,335,301,338,362,257,317,437,436,283,293,497,610,199.3,338.1,415,NA
Vernon ^OTHER^,189,219,290,195,203,232,173,165,160,90,82,95,86,106,84,89,125,135,106,80,208,192,26666.7,69333.3,64000,NA
West Covina ^OTHER^,788,900,771,869,881,908,912,776,695,613,594,511,543,501,425,487,498,410,393,355,361,426,324.8,330.3,389.8,NA
Whittier ^OTHER^,293,276,309,301,385,404,416,332,274,207,178,160,210,241,132,216,180,177,164,176,209,310,911.9,1082.9,1606.2,NA
Whittier ^OTHER^,297,382,412,458,491,508,474,423,317,270,286,254,295,253,306,415,390,313,331,305,312,397,349.4,357.4,454.8,NA
