place,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,rate19,rate20,rate21,moredata
Manhattan Beach ^OTHER^,295,248,279,264,212,216,205,192,144,157,162,204,183,194,218,206,191,179,113,160,120,158,450.7,338,445.1,NA
Monrovia ^OTHER^,169,156,195,198,137,149,193,187,148,141,158,150,120,128,91,103,132,120,121,87,95,125,228.9,250,328.9,NA
Montebello ^OTHER^,325,240,300,237,273,300,330,482,527,540,737,671,718,711,501,582,823,665,619,480,183,171,765.6,291.9,272.7,NA
Monterey Park ^OTHER^,264,291,413,272,275,274,313,273,309,249,219,213,249,316,267,378,460,439,356,267,212,183,437,347,299.5,NA
Palos Verdes Estates ^OTHER^,52,51,43,45,44,36,38,47,65,43,44,40,48,54,52,82,28,43,33,36,22,46,270.7,165.4,345.9,NA
Pasadena ^OTHER^,1026,899,959,849,723,788,892,825,858,824,832,1019,891,939,826,830,861,745,663,570,654,570,410.7,471.2,410.7,NA
Pomona ^OTHER^,892,951,886,914,1013,997,1027,972,1101,854,867,890,901,847,677,692,853,718,903,816,659,664,537.9,434.4,437.7,NA
Redondo Beach ^OTHER^,419,320,436,441,355,319,315,325,282,297,216,313,266,309,272,348,428,358,249,260,311,338,363.1,434.4,472.1,NA
San Fernando ^OTHER^,102,146,144,102,98,139,141,88,101,82,79,99,70,69,96,126,90,85,51,52,49,38,217.6,205,159,NA
San Gabriel ^OTHER^,176,208,241,217,255,327,234,217,191,149,164,167,143,175,170,130,224,199,172,202,114,172,511.4,288.6,435.4,NA
San Marino ^OTHER^,35,35,57,47,56,66,83,77,65,44,69,61,68,83,79,81,106,127,84,77,63,42,616,504,336,NA
Santa Monica ^OTHER^,603,720,739,761,752,788,733,682,557,512,413,483,586,573,535,660,623,648,662,577,931,754,620.4,1001.1,810.8,NA
Sierra Madre ^OTHER^,37,49,54,44,33,64,51,30,42,46,58,38,30,58,25,48,47,43,34,29,15,18,256.6,132.7,159.3,NA
Signal Hill ^OTHER^,155,170,108,115,129,121,108,80,86,96,86,99,87,95,63,102,103,93,107,110,103,100,932.2,872.9,847.5,NA
South Gate ^OTHER^,646,583,641,590,501,444,416,456,477,377,484,418,410,406,419,574,507,507,343,351,314,279,379,339.1,301.3,NA
South Pasadena ^OTHER^,123,120,164,149,122,148,178,167,154,141,107,141,118,170,115,141,162,130,103,94,109,85,349.4,405.2,316,NA
Torrance ^OTHER^,686,744,708,785,696,641,666,461,509,442,516,509,529,591,582,540,458,557,468,399,378,359,271.4,257.1,244.2,NA
Vernon ^OTHER^,61,59,23,51,39,52,80,70,43,33,43,30,26,28,36,30,44,60,82,133,186,114,44333.3,62000,38000,NA
West Covina ^OTHER^,580,560,532,585,642,744,679,680,548,470,531,526,546,615,454,400,519,502,385,354,346,277,323.9,316.6,253.4,NA
Whittier ^OTHER^,232,205,186,228,295,300,315,304,233,166,186,140,207,135,132,161,168,183,176,205,195,187,1062.2,1010.4,968.9,NA
Whittier ^OTHER^,356,334,329,339,453,429,421,416,425,400,413,435,449,455,340,319,467,420,367,318,257,242,364.3,294.4,277.2,NA
