"LURN_SAK","INCIDENT_DATE","INCIDENT_REPORTED_DATE","CATEGORY","STAT","STAT_DESC","ADDRESS","STREET","CITY","ZIP","INCIDENT_ID","REPORTING_DISTRICT","SEQ","GANG_RELATED","UNIT_ID","UNIT_NAME","LONGITUDE","LATITUDE","PART_CATEGORY"
19765616,"11/27/2021 01:24:00 PM","11/28/2021","MISDEMEANORS MISCELLANEOUS","399","MISDEMEANORS, MISCELLANEOUS: All Other Misdemeanors","3700 W AVE K-12, LANCASTER, CA","3700 W AVE K-12","LANCASTER",,"921-19715-1192","1192","19715","NO","CA0190024","LANCASTER",-118.198,34.663,2
19768466,"12/01/2021 10:25:35 AM","12/01/2021","NARCOTICS","184","Felony Possession of a Controlled Substance (excluding Marijuana)","CARSON ST AND 605 FWY, LAKEWOOD, CA 90713","CARSON ST AND 605 FWY","LAKEWOOD","90713","921-21773-1327","1327","21773","NO","CA0190013","LAKEWOOD",-118.084,33.831,2
19769797,"12/02/2021 02:00:00 PM","12/02/2021","WEAPON LAWS","152","WEAPON LAWS: Misdemeanor","3600 W SLAUSON AVE, LOS ANGELES, CA","3600 W SLAUSON AVE","LOS ANGELES",,"921-03061-2767","2767","03061","NO","CA0190065","MARINA DEL REY",-118.337,33.988,2
19769276,"12/02/2021 02:24:53 AM","12/02/2021","NON-AGGRAVATED ASSAULTS","146","ASSAULT, NON-AGGRAVATED: DOMESTIC VIOLENCE","9200 WALNUT AVE, BELLFLOWER, CA 90706","9200 WALNUT AVE","BELLFLOWER","90706","021-21830-1334","1334","21830","NO","CA0190013","LAKEWOOD",-118.136,33.879,2
19766900,"11/25/2021 11:00:00 AM","11/29/2021","SEX OFFENSES MISDEMEANORS","130","SEX MISDEMEANORS: Indecent Exposure","BRAEBURN RD AND TANOBLE AVE, ALTADENA, CA","BRAEBURN RD AND TANOBLE AVE","ALTADENA",,"021-03186-0776","0776","03186","NO","CA0190007","ALTADENA",-118.114,34.187,2
19773111,"12/06/2021 10:15:00 PM","12/06/2021","NON-AGGRAVATED ASSAULTS","144","ASSAULT, NON-AGG: Hands, Feet, Fist, Etc.","1300 112TH ST, LOS ANGELES, CA 90044","1300 112TH ST","LOS ANGELES","90044","021-09458-0375","0375","09458","NO","CA0190003","SOUTH LOS ANGELES",-118.298,33.932,2
19755541,"11/14/2021 07:35:00 AM","11/14/2021","LARCENY THEFT","340","VEHICLE BURGLARY: Auto/Passenger Van Burglary","3100 E IMPERIAL HWY, LYNWOOD, CA","3100 E IMPERIAL HWY","LYNWOOD",,"921-15207-2111","2111","15207","NO","CA01900V3","CENTURY",-118.213,33.929,1
19755891,"11/10/2021 12:00:00 PM","11/14/2021","FRAUD AND NSF CHECKS","117","IDENTITY THEFT (GOODS/SERVICES/CREDIT)","300 E LANSFORD ST, LANCASTER, CA 93535","300 E LANSFORD ST","LANCASTER","93535","921-18981-1132","1132","18981","NO","CA0190024","LANCASTER",,,2
19753858,"11/12/2021 02:50:00 AM","11/12/2021","LARCENY THEFT","340","VEHICLE BURGLARY: Auto/Passenger Van Burglary","700 E ALBERTONI ST, CARSON, CA","700 E ALBERTONI ST","CARSON",,"921-10973-1610","1610","10973","NO","CA0190016","CARSON",-118.263,33.872,1
19758274,"11/14/2021 05:43:00 AM","11/17/2021","LARCENY THEFT","089","GRAND THEFT: Other (From Boat, Plane, Prvt Res, Yard, Etc)","28700 CANWOOD ST, AGOURA HILLS, CA 91301","28700 CANWOOD ST","AGOURA HILLS","91301","921-06861-2222","2222","06861","NO","CA0190022","MALIBU/LOST HILLS",-118.751,34.145,1
19753862,"11/12/2021 03:00:00 AM","11/12/2021","LARCENY THEFT","387","THEFT, PETTY: From Bldgs (Church, School, Restaurant)","600 E ARTESIA BLVD, CARSON, CA","600 E ARTESIA BLVD","CARSON",,"921-10974-1611","1611","10974","NO","CA0190016","CARSON",-118.264,33.875,1
19756598,"11/13/2021 02:25:00 PM","11/15/2021","OFFENSES AGAINST FAMILY","175","OFFENSES AGAINST FAMILY: Domestic Violence (Other than Phys Assault)","25100 RYE CANYON LOOP, VALENCIA, CA","25100 RYE CANYON LOOP","VALENCIA",,"021-15578-0645","0645","15578","NO","CA0190006","SANTA CLARITA VALLEY",-118.577,34.456,2
19756991,"11/15/2021 07:35:00 PM","11/16/2021","LARCENY THEFT","340","VEHICLE BURGLARY: Auto/Passenger Van Burglary","9000 ARTESIA BLVD, BELLFLOWER, CA 90706","9000 ARTESIA BLVD","BELLFLOWER","90706","921-20916-1335","1335","20916","NO","CA0190013","LAKEWOOD",-118.14,33.874,1
19755740,"11/13/2021 10:00:00 PM","11/14/2021","VANDALISM","263","VANDALISM FELONY","20900 BIG ROCK DR, MALIBU, CA","20900 BIG ROCK DR","MALIBU",,"921-06812-1017","1017","06812","NO","CA0190022","MALIBU/LOST HILLS",-118.624,34.045,2
19755434,"11/14/2021 01:30:00 AM","11/14/2021","DRUNK / ALCOHOL / DRUGS","201","DRUNK: Alcohol","100 SUMNER AVE, AVALON, CA 90704","100 SUMNER AVE","AVALON","90704","921-00424-1811","1811","00424","NO","CA0190018","AVALON",-118.326,33.343,2
19759297,"11/17/2021 08:45:00 AM","11/18/2021","LARCENY THEFT","089","GRAND THEFT: Other (From Boat, Plane, Prvt Res, Yard, Etc)","14500 ALLEGAN ST, WHITTIER, CA 90604","14500 ALLEGAN ST","WHITTIER","90604","921-12465-0492","0492","12465","NO","CA0190004","NORWALK",-118.023,33.928,1
