total00,total01,total02,total03,total04,total05,total06,total07,total08,total09,total10,total11,total12,total13,total14,total15,total16,total17,total18,total19,total20,total21,category
59,62,68,69,88,96,86,100,98,45,48,50,69,48,45,53,57,56,46,40,48,56,Homicide
229,146,210,215,152,172,154,125,166,179,133,131,108,161,355,344,342,367,354,324,198,205,Rape
3456,2493,3208,3065,3041,3078,3858,3771,4108,3423,3180,3088,3484,4202,3224,3610,3175,3220,3165,3055,2388,2245,Robbery
2755,1827,2573,2376,2476,2639,2435,2418,2372,2310,2386,2105,2116,2653,3137,2703,2616,2658,2579,2514,2162,2381,Aggravated Assault
5695,4243,5947,5784,6097,6208,6465,5079,5401,5197,4557,4408,5317,5931,5237,5186,4978,4935,5322,4644,7452,7246,Burglary
24417,16286,24468,25388,21711,19887,23891,23474,25142,24399,23905,24304,28242,36527,33730,40918,36991,44587,39675,39887,25319,31414,Larceny Theft
5563,4241,6197,6991,8061,8174,6636,5903,5758,4913,3903,4174,5339,5866,6126,6915,5433,4834,4217,4249,5966,6042,Motor Vehicle Theft
