place_chart,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,inc_19to21,inc_10to21,rate21
San Bernardino,632,720,803,794,811,968,903,877,974,906,730,613,-32.3,-3,276
Yucca Valley,13,20,19,15,13,30,15,18,21,25,16,16,-36,23.1,73.6
Upland,86,80,67,67,55,79,96,101,109,107,109,44,-58.9,-48.8,55.7
Yucaipa,31,24,35,31,18,22,20,23,29,31,21,16,-48.4,-48.4,29.3
Chino,76,58,52,47,42,53,52,87,67,96,77,65,-32.3,-14.5,71.1
Colton,79,90,84,69,61,77,98,115,77,103,95,63,-38.8,-20.3,116.9
Highland,96,81,92,56,71,58,79,74,62,90,67,48,-46.7,-50,84.2
Adelanto,39,34,45,52,37,48,48,48,40,42,38,24,-42.9,-38.5,63.1
Fontana,240,241,291,202,173,213,218,206,195,206,162,153,-25.7,-36.3,73.4
Hesperia,67,95,69,83,56,83,92,97,126,111,76,69,-37.8,3,69.1
Redlands,104,90,75,84,60,74,76,69,82,70,69,66,-5.7,-36.5,90.2
Twentynine Palms,18,10,11,5,5,13,15,6,16,15,7,7,-53.3,-61.1,24.9
Victorville,256,261,222,202,189,229,224,267,258,255,200,196,-23.1,-23.4,145.4
Big Bear,5,2,4,5,6,5,3,4,3,4,3,1,-75,-80,7.9
Needles,3,3,6,5,7,4,6,4,2,6,8,7,16.7,133.3,142
Barstow,45,48,45,45,52,70,106,97,96,82,69,65,-20.7,44.4,255.8
Loma Linda,7,15,11,10,17,7,12,12,10,17,20,27,58.8,285.7,108.9
Chino Hills,16,16,22,11,16,23,12,19,17,20,23,24,20,50,30.6
Montclair,84,81,67,79,72,76,63,85,72,70,78,55,-21.4,-34.5,145.3
Rialto,193,204,201,192,113,153,159,150,195,185,145,148,-20,-23.3,142.3
Ontario,237,209,266,167,163,217,227,220,231,223,195,153,-31.4,-35.4,87.3
Apple Valley,58,53,65,58,53,50,74,63,55,68,44,45,-33.8,-22.4,59.4
Rancho Cucamonga,111,103,112,128,99,97,86,118,112,108,78,84,-22.2,-24.3,48.2
Grand Terrace,6,4,8,16,7,13,8,9,17,8,1,9,12.5,50,68.4
San Bernardino Co. Sheriff's Department,145,178,164,133,154,141,151,160,179,189,133,159,-15.9,9.7,7.3
