place_chart,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,inc_19to21,inc_10to21,rate21
San Bernardino,632,720,803,794,811,968,903,877,974,906,730,613,-32.3,-3,276
Riverside,502,458,517,495,441,520,586,544,543,476,394,350,-26.5,-30.3,111.1
Thousand Oaks,50,34,46,42,22,23,33,35,30,23,23,29,26.1,-42,22.8
Orange,56,82,54,64,53,62,57,64,73,76,54,66,-13.2,17.9,47.2
Anaheim,492,446,440,437,418,439,390,480,407,396,412,386,-2.5,-21.5,111.3
Ventura,108,135,140,99,103,124,109,111,117,106,94,101,-4.7,-6.5,91.2
Indian Wells,1,0,1,2,0,0,2,0,0,2,1,1,-50,0,20.8
La Palma,5,6,7,8,7,7,10,7,5,7,10,12,71.4,140,76.9
Yucca Valley,13,20,19,15,13,30,15,18,21,25,16,16,-36,23.1,73.7
Corona,90,105,102,65,68,98,74,107,119,103,86,88,-14.6,-2.2,56
Villa Park,1,0,0,0,2,1,1,0,0,0,0,1,NA,0,17.2
Irvine,40,40,29,38,36,57,52,55,53,66,49,70,6.1,75,22.7
Upland,86,80,67,67,55,79,96,101,109,107,109,44,-58.9,-48.8,55.7
Aliso Viejo,8,8,6,4,5,3,5,8,10,13,3,7,-46.2,-12.5,13.4
Yucaipa,31,24,35,31,18,22,20,23,29,31,21,16,-48.4,-48.4,29.4
Oxnard,329,274,304,328,447,385,429,430,327,275,274,183,-33.5,-44.4,90.5
Coachella,74,76,67,56,51,51,62,41,40,43,39,38,-11.6,-48.6,90.7
Chino,76,58,52,47,42,53,52,87,67,96,77,65,-32.3,-14.5,71.1
Costa Mesa,93,83,83,94,120,122,145,128,110,104,116,145,39.4,55.9,129.6
Hemet,129,124,146,173,139,174,170,133,144,121,121,65,-46.3,-49.6,72.4
Santa Ana,719,591,541,463,452,523,511,605,499,472,401,329,-30.3,-54.2,106.1
Banning,32,30,26,26,16,29,34,17,28,27,20,33,22.2,3.1,111.9
Ojai,1,6,1,3,1,1,1,0,3,0,1,1,NA,0,13.2
Westminster,102,79,88,84,74,118,96,132,117,122,114,108,-11.5,5.9,118.8
Perris,89,93,94,102,68,76,91,66,78,97,77,86,-11.3,-3.4,109.3
Colton,79,90,84,69,61,77,98,115,77,103,95,63,-38.8,-20.3,116.9
Seal Beach,5,8,5,8,7,5,4,19,20,10,8,5,-50,0,19.8
