place_chart,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,inc_19to22,inc_10to22,rate22
LAPD 77th Street^Division of Los Angeles PD^,1221,1232,1113,1203,1078,1415,1643,1582,1357,1325,1627,1815,1834,38.4,50.2,980.2
LAPD Central^Division of Los Angeles PD^,329,311,330,267,246,430,393,390,417,412,607,852,1234,199.5,275.1,1514.1
LAPD Devonshire^Division of Los Angeles PD^,762,560,692,526,489,529,682,743,634,542,713,948,895,65.1,17.5,389.3
LAPD Foothill^Division of Los Angeles PD^,940,851,789,821,723,780,813,879,900,870,1000,936,907,4.3,-3.5,462.8
LAPD Harbor^Division of Los Angeles PD^,1081,1031,1125,880,835,1079,1064,1041,982,843,1138,1270,1338,58.7,23.8,740
LAPD Hollenbeck^Division of Los Angeles PD^,1022,706,983,877,937,1008,1210,1267,996,923,1353,1296,1432,55.1,40.1,843.8
LAPD Hollywood^Division of Los Angeles PD^,562,510,410,419,435,553,653,575,513,434,720,906,919,111.8,63.5,704.8
LAPD Mission^Division of Los Angeles PD^,992,924,920,938,886,1028,1172,1130,1143,1061,1219,1209,1198,12.9,20.8,480.4
LAPD Newton^Division of Los Angeles PD^,1259,1070,968,911,1028,1012,1472,1497,1185,1062,1645,1637,1812,70.6,43.9,1212.9
LAPD North Hollywood^Division of Los Angeles PD^,811,771,717,675,626,746,963,873,815,753,1014,1049,1022,35.7,26,485.3
LAPD Northeast^Division of Los Angeles PD^,932,954,1019,815,775,864,1075,1094,900,775,1073,1232,1211,56.3,29.9,556.5
LAPD Olympic^Division of Los Angeles PD^,710,659,600,538,513,662,756,884,809,723,911,1330,1386,91.7,95.2,754.5
LAPD Pacific^Division of Los Angeles PD^,810,752,832,699,817,935,979,1017,864,786,1145,1481,1510,92.1,86.4,694.3
LAPD Rampart^Division of Los Angeles PD^,707,669,644,507,512,665,640,707,733,589,982,1141,1236,109.8,74.8,774.4
LAPD Southeast^Division of Los Angeles PD^,1024,1096,871,985,999,1149,1303,1282,1204,1159,1332,1710,1545,33.3,50.9,1025.9
LAPD Southwest^Division of Los Angeles PD^,1070,974,843,832,832,977,974,1025,887,790,1104,1301,1468,85.8,37.2,761
LAPD Topanga^Division of Los Angeles PD^,543,404,466,479,400,482,580,639,658,515,686,770,704,36.7,29.7,339.9
LAPD Van Nuys^Division of Los Angeles PD^,693,575,574,559,512,728,658,726,716,661,909,933,944,42.8,36.2,502.4
LAPD West Los Angeles^Division of Los Angeles PD^,403,414,351,350,385,375,478,494,481,401,656,723,806,101,100,332.5
LAPD West Valley^Division of Los Angeles PD^,576,516,510,484,508,577,662,750,692,549,783,868,1018,85.4,76.7,505.5
LAPD Wilshire^Division of Los Angeles PD^,585,504,405,462,421,426,584,546,524,494,666,878,938,89.9,60.3,612.3
Unincorporated Altadena^Area policed by LASD^,74,49,54,55,41,48,53,69,75,54,65,58,52,-3.7,-29.7,117.9
Avalon^Area policed by LASD^,16,9,12,18,9,5,1,10,5,5,8,3,5,0,-68.8,147.1
Unincorporated Avalon^Area policed by LASD^,1,1,0,0,1,0,0,0,0,0,0,0,0,NA,-100,NA
Carson^Area policed by LASD^,464,560,550,489,389,395,522,510,445,399,529,766,842,111,81.5,881.7
Unincorporated Carson^Area policed by LASD^,202,155,193,161,159,186,204,221,154,167,161,301,318,90.4,57.4,1213.7
Lynwood^Area policed by LASD^,494,463,522,555,593,643,767,700,554,507,669,963,759,49.7,53.6,1126.1
Unincorporated Century^Area policed by LASD^,775,966,832,770,779,881,941,1017,848,746,992,1089,1181,58.3,52.4,1002.5
Cerritos^Area policed by LASD^,228,166,176,219,182,221,221,196,163,122,146,277,285,133.6,25,574.6
Compton^Area policed by LASD^,715,863,822,800,714,769,790,770,848,727,838,1092,1012,39.2,41.5,1057.5
Unincorporated Compton^Area policed by LASD^,205,206,267,229,188,182,207,207,198,177,220,326,274,54.8,33.7,1207
La Canada Flintridge^Area policed by LASD^,13,12,16,11,8,12,16,20,13,11,20,11,6,-45.5,-53.8,29.1
Unincorporated Crescenta Valley^Area policed by LASD^,24,16,29,17,16,17,27,21,15,9,15,28,20,122.2,-16.7,91.7
Commerce^Area policed by LASD^,332,325,265,278,258,350,360,345,241,252,358,570,496,96.8,49.4,3905.5
Cudahy^Area policed by LASD^,50,127,79,83,73,82,78,80,73,64,109,137,105,64.1,110,462.6
Maywood^Area policed by LASD^,64,133,81,136,100,144,167,139,123,93,197,146,113,21.5,76.6,450.2
Unincorporated East Los Angeles^Area policed by LASD^,718,481,670,661,599,838,802,750,617,589,847,845,786,33.4,9.5,663.9
Industry^Area policed by LASD^,213,235,214,228,209,180,219,148,137,125,134,161,195,56,-8.5,NA
La Habra Heights^Area policed by LASD^,7,4,2,2,0,3,8,6,1,2,8,3,2,0,-71.4,35.1
La Puente^Area policed by LASD^,141,165,158,125,131,128,164,162,147,126,122,159,113,-10.3,-19.9,297.4
Unincorporated Industry^Area policed by LASD^,405,369,342,306,314,323,377,383,339,308,353,414,336,9.1,-17,249.8
Artesia^Area policed by LASD^,44,45,28,55,48,111,75,71,48,33,51,91,82,148.5,86.4,500
Bellflower^Area policed by LASD^,458,444,499,489,383,558,491,505,394,320,520,650,635,98.4,38.6,801.8
Hawaiian Gardens^Area policed by LASD^,53,55,52,52,58,61,82,85,51,56,40,71,89,58.9,67.9,631.2
Lakewood^Area policed by LASD^,319,264,312,291,226,305,308,259,226,189,267,392,428,126.5,34.2,518.8
Paramount^Area policed by LASD^,468,471,454,504,388,490,393,438,343,284,392,552,492,73.2,5.1,919.6
Unincorporated Lakewood^Area policed by LASD^,1,3,5,1,0,6,2,2,5,2,6,6,3,50,200,150
Lancaster^Area policed by LASD^,440,389,422,428,477,513,618,650,730,638,759,1077,1064,66.8,141.8,625.1
Unincorporated Lancaster^Area policed by LASD^,5,65,79,71,75,75,81,92,105,88,116,159,199,126.1,3880,549.7
Lomita^Area policed by LASD^,36,37,47,70,50,46,51,71,47,40,49,51,81,102.5,125,387.6
Rancho Palos Verdes^Area policed by LASD^,18,26,25,36,30,39,33,35,29,12,26,43,36,200,100,85.1
Rolling Hills^Area policed by LASD^,0,1,1,0,1,0,0,0,0,0,0,0,0,NA,NA,0
Rolling Hills Estates^Area policed by LASD^,6,4,3,7,5,5,6,8,8,9,6,8,2,-77.8,-66.7,24.4
Unincorporated Lomita^Area policed by LASD^,11,18,11,10,9,18,10,12,7,7,10,11,12,71.4,9.1,300
Agoura Hills^Area policed by LASD^,8,13,16,12,11,11,19,20,24,17,34,30,23,35.3,187.5,113.3
Calabasas^Area policed by LASD^,18,10,11,7,16,15,23,19,13,24,35,23,31,29.2,72.2,133.6
Hidden Hills^Area policed by LASD^,0,0,0,0,2,1,0,1,2,1,1,0,1,0,NA,58.8
Malibu^Area policed by LASD^,17,10,19,24,18,21,31,33,29,19,17,53,25,31.6,47.1,235.8
Westlake Village^Area policed by LASD^,3,2,12,6,8,8,6,5,8,5,11,8,10,100,233.3,125
Unincorporated Malibu/Lost Hills^Area policed by LASD^,14,11,10,12,23,15,24,28,17,19,30,33,22,15.8,57.1,97.3
Unincorporated Marina Del Rey^Area policed by LASD^,14,74,60,89,88,92,94,107,69,70,145,195,184,162.9,1214.3,609.3
La Mirada^Area policed by LASD^,111,142,104,114,75,123,121,138,121,93,147,173,128,37.6,15.3,266.7
Norwalk^Area policed by LASD^,594,643,534,565,487,428,466,415,394,306,416,549,558,82.4,-6.1,542.8
Unincorporated Norwalk^Area policed by LASD^,187,185,191,177,172,257,223,261,248,239,233,195,215,-10,15,321.9
Palmdale^Area policed by LASD^,485,413,359,431,395,495,443,435,503,399,543,525,632,58.4,30.3,373.3
Unincorporated Palmdale^Area policed by LASD^,113,84,93,57,88,95,94,122,153,135,131,157,177,31.1,56.6,402.3
Pico Rivera^Area policed by LASD^,329,347,368,336,317,385,457,329,314,273,329,445,449,64.5,36.5,723
Unincorporated Pico Rivera^Area policed by LASD^,121,106,122,100,106,139,141,128,116,115,145,149,171,48.7,41.3,557
San Dimas^Area policed by LASD^,63,39,56,67,54,63,86,77,65,61,90,89,84,37.7,33.3,240.7
Unincorporated San Dimas^Area policed by LASD^,100,80,99,92,88,124,105,123,117,118,151,130,113,-4.2,13,236.9
Santa Clarita^Area policed by LASD^,243,237,309,251,247,301,417,410,295,219,288,342,361,64.8,48.6,171
Unincorporated Santa Clarita Valley^Area policed by LASD^,123,77,99,71,58,77,87,85,63,68,77,91,101,48.5,-17.9,130.7
Lawndale^Area policed by LASD^,138,94,98,96,88,104,159,144,102,100,181,165,176,76,27.5,555.2
Unincorporated South Los Angeles^Area policed by LASD^,394,337,376,316,357,386,462,373,357,391,467,594,583,49.1,48,685.9
Bradbury^Area policed by LASD^,0,1,0,2,0,1,0,0,0,2,1,0,0,-100,NA,NA
Duarte^Area policed by LASD^,76,54,69,55,46,66,73,55,67,42,57,75,71,69,-6.6,327.2
Rosemead^Area policed by LASD^,202,197,218,165,169,321,227,278,284,194,206,223,277,42.8,37.1,542.1
South El Monte^Area policed by LASD^,137,118,112,119,132,163,155,201,163,114,123,206,196,71.9,43.1,994.9
Temple City^Area policed by LASD^,36,27,37,33,33,40,38,37,44,34,38,32,47,38.2,30.6,128.4
