place_chart,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Change since 2019,Change since 2010,2022 rate per 100K
Orange,3,6,8,8,10,11,25,12,12,18,14,20,11,-38.9,266.7,7.9
La Palma,0,2,1,0,1,0,1,0,0,1,0,4,3,200,NA,19.2
Fountain Valley,5,8,7,9,0,2,0,3,1,5,6,6,9,80,80,15.8
Anaheim,88,105,82,82,79,129,123,115,142,141,133,106,125,-11.3,42,36
Fullerton,26,25,31,29,55,66,55,63,66,80,58,88,79,-1.2,203.8,55
Irvine,24,11,8,12,28,27,41,46,40,52,36,47,35,-32.7,45.8,11.4
Garden Grove,22,19,16,16,17,41,38,22,54,54,44,25,56,3.7,154.5,32.6
Laguna Hills,4,2,4,3,10,8,5,5,5,3,6,5,1,-66.7,-75,3.2
Buena Park,13,8,13,13,13,19,16,9,17,15,14,22,22,46.7,69.2,26.2
Rancho Santa Margarita,4,1,2,3,10,8,2,4,3,4,1,0,1,-75,-75,2.1
Laguna Woods,0,0,0,2,0,0,4,1,1,0,0,0,0,NA,NA,0
Stanton,1,7,3,8,14,14,14,17,10,10,6,2,5,-50,400,13.2
Newport Beach,4,16,11,7,17,20,34,31,31,29,29,33,22,-24.1,450,25.8
Los Alamitos,1,0,2,2,2,3,2,5,1,1,1,2,3,200,200,25.4
Cypress,2,8,2,4,3,3,6,5,14,7,7,8,6,-14.3,200,12
Dana Point,2,-1,5,9,12,9,11,6,7,0,6,2,3,NA,50,9.1
Placentia,5,2,4,6,3,5,2,1,10,13,7,10,2,-84.6,-60,3.9
Westminster,17,11,9,13,20,22,31,23,26,19,24,35,18,-5.3,5.9,19.8
Yorba Linda,3,4,3,5,13,7,11,9,6,3,3,7,2,-33.3,-33.3,2.9
Laguna Beach,5,6,6,3,4,8,15,10,5,17,4,7,11,-35.3,120,47.8
Costa Mesa,34,30,32,46,45,53,60,61,75,52,64,67,65,25,91.2,58.1
San Juan Capistrano,3,4,3,0,10,12,9,12,9,4,7,7,2,-50,-33.3,5.7
Villa Park,0,0,0,0,2,0,1,0,0,0,0,0,0,NA,NA,0
La Habra,18,3,7,8,7,7,8,9,5,20,8,21,19,-5,5.6,30.1
Brea,3,1,2,4,5,2,6,8,7,10,10,9,7,-30,133.3,14.8
Huntington Beach,32,34,31,31,45,52,55,75,83,61,70,82,68,11.5,112.5,34.2
San Clemente,1,5,6,3,12,19,10,9,9,3,3,6,12,300,1100,18.7
Laguna Niguel,0,3,6,4,11,6,9,7,2,9,5,3,3,-66.7,NA,4.7
Mission Viejo,5,3,3,4,9,14,7,13,5,8,5,9,9,12.5,80,9.6
Santa Ana,88,62,55,51,115,154,142,188,230,207,145,229,97,-53.1,10.2,31.3
Tustin,9,7,11,6,16,10,13,11,15,16,13,15,19,18.8,111.1,23.7
Aliso Viejo,4,2,0,2,5,5,4,4,11,3,1,1,0,-100,-100,0
Lake Forest,8,1,8,12,19,15,17,19,14,7,9,9,11,57.1,37.5,12.8
Seal Beach,4,1,1,1,1,1,1,2,9,1,6,0,6,500,50,23.8
Orange Co. Sheriff's Department,8,11,9,9,27,12,20,16,36,11,24,6,4,-63.6,-50,3
