rate_prior4years,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,inc_19to22,inc_10to22,rate22
257,221,206,289,272,244,356,361,341,300,251,424,450,313,24.7,41.6,223.7
195.5,12,23,28,25,19,21,32,33,23,19,17,45,41,115.8,241.7,262.8
214.9,75,65,107,73,68,129,125,144,117,86,141,119,144,67.4,92,252.6
469.1,1010,1119,1440,1681,1275,1669,1384,1552,1373,1231,1739,1738,1800,46.2,78.2,519
323.8,342,359,323,359,305,467,403,386,475,360,418,499,583,61.9,70.5,406
79.7,121,118,135,149,126,201,179,194,198,163,288,240,290,77.9,139.7,94.2
319.8,462,428,601,539,476,649,672,657,612,504,690,426,579,14.9,25.3,336.8
177.7,28,27,33,43,33,46,48,49,28,35,57,64,67,91.4,139.3,213.4
496.7,382,339,309,369,278,386,375,400,341,264,399,487,519,96.6,35.9,617.9
33.8,9,18,10,13,16,9,16,18,12,12,14,21,18,50,100,37.6
99.4,8,4,7,10,5,7,9,15,13,8,29,15,18,125,125,102.3
347.4,87,100,128,156,139,183,145,135,123,99,163,148,118,19.2,35.6,310.5
176.3,134,80,95,104,104,135,160,132,163,147,152,160,142,-3.4,6,166.7
391.5,26,29,24,39,29,51,17,24,24,16,43,54,72,350,176.9,610.2
229.5,82,60,64,97,69,97,109,89,80,74,79,144,164,121.6,100,326.7
146.5,28,37,31,24,28,52,38,31,36,27,34,56,77,185.2,175,232.6
278.4,72,61,96,80,72,96,82,114,113,103,230,115,129,25.2,79.2,249
398,272,280,323,336,295,325,337,395,269,276,342,371,458,65.9,68.4,503.9
92.5,33,27,32,46,57,35,61,47,66,54,54,67,78,44.4,136.4,114.2
173.9,13,24,26,26,24,60,60,66,43,22,57,40,41,86.4,215.4,178.3
342.4,282,267,361,296,306,467,579,520,302,355,369,427,382,7.6,35.5,341.4
152,39,34,37,22,40,53,53,32,40,27,43,57,87,222.2,123.1,247.2
48.3,1,4,3,0,5,2,3,4,2,0,5,2,4,NA,300,69
233.3,132,111,106,114,82,162,160,185,165,145,158,148,138,-4.8,4.5,218.7
197.7,74,61,49,66,56,69,74,100,66,72,98,81,123,70.8,66.2,260
209.8,285,252,321,345,300,373,411,385,310,329,441,396,501,52.3,75.8,252.1
163.3,57,42,61,53,73,74,68,65,63,58,97,105,160,175.9,180.7,248.8
83.1,30,24,35,29,31,49,60,50,56,39,52,46,77,97.4,156.7,119.6
85.9,50,40,45,40,38,76,55,78,78,56,82,77,107,91.1,114,114.2
395.6,1275,1286,1578,1459,1306,1867,1948,1980,1549,1343,1712,1341,512,-61.9,-59.8,165.1
263.4,144,103,131,113,116,154,165,177,125,183,262,172,229,25.1,59,285.2
78.9,28,13,13,20,17,34,27,33,31,25,46,41,53,112,89.3,101.5
110.4,62,44,63,43,62,90,78,87,112,73,100,81,125,71.2,101.6,145.5
168.7,28,30,23,33,34,36,41,48,38,31,42,44,53,71,89.3,210.3
110.3,110,89,113,103,124,142,145,224,145,97,121,161,208,114.4,89.1,156.3
