rate_prior4years,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,inc_19to22,inc_10to22,rate22
307.9,265,252,287,219,192,233,266,219,298,337,304,331,309,-8.3,16.6,297.1
156.8,138,155,185,186,98,162,180,122,141,118,121,136,195,65.3,41.3,214.5
32.9,46,33,39,19,24,25,24,31,26,22,22,20,26,18.2,-43.5,38.1
28.6,39,50,35,42,37,66,67,56,41,20,20,19,22,10,-43.6,31.1
79.5,NA,22,25,35,38,24,42,30,28,57,58,42,65,14,NA,93.1
238.2,7,12,12,17,25,31,20,15,19,37,31,47,47,27,571.4,276.5
351.9,113,116,115,92,88,131,98,117,84,91,93,91,140,53.8,23.9,474.6
415.3,61,55,53,40,52,60,53,33,41,56,85,75,88,57.1,44.3,480.9
108.1,7,19,11,3,10,6,13,16,9,14,11,12,11,-21.4,57.1,99.1
241.1,114,194,184,58,107,96,88,84,58,74,92,130,108,45.9,-5.3,257.8
237.8,215,217,238,246,250,388,398,295,256,194,191,174,295,52.1,37.2,328.5
250.5,303,363,345,285,296,329,496,411,443,523,543,504,520,-0.6,71.6,249.3
128.5,26,18,26,32,24,26,32,46,40,32,24,37,42,31.2,61.5,159.7
219.1,12,32,49,71,94,73,48,58,64,102,92,116,139,36.3,1058.3,271.5
430.5,190,151,177,137,167,168,178,151,155,156,166,233,213,36.5,12.1,477.6
85.3,50,67,78,49,52,77,56,54,59,37,44,47,56,51.4,12,103.9
221.5,NA,104,206,177,189,158,239,166,231,218,209,246,258,18.3,NA,245.5
250,65,50,43,33,53,56,84,76,76,15,67,82,66,340,1.5,287
236.2,65,67,80,56,44,99,100,144,166,38,82,210,171,350,163.1,322.6
300.4,112,114,135,111,153,210,206,171,156,156,306,442,441,182.7,293.8,394.1
131.7,180,154,124,92,67,52,78,72,109,70,78,20,103,47.1,-42.8,200
397.5,296,261,259,209,99,147,163,211,228,178,162,15,162,-9,-45.3,498.5
166,112,86,129,114,77,102,112,110,113,146,112,135,93,-36.3,-17,127
740.9,131,123,145,168,153,199,228,186,173,177,192,177,207,16.9,58,815
135.8,23,34,43,44,36,39,62,54,63,37,38,52,64,73,178.3,181.8
34.5,5,2,2,6,1,0,2,2,0,4,0,1,3,-25,-40,51.7
177.8,91,151,93,47,50,60,58,81,60,79,105,81,184,132.9,102.2,291.6
92,39,30,49,36,26,47,57,65,46,33,31,53,57,72.7,46.2,120.5
145,306,260,196,229,245,251,229,289,239,224,313,301,315,40.6,2.9,158.5
110.1,33,35,45,32,40,43,44,45,77,54,58,70,101,87,206.1,157.1
211.9,71,87,95,84,67,94,103,120,85,102,80,140,135,32.4,90.1,250.5
271,71,77,58,63,61,68,43,76,54,62,69,124,78,25.8,9.9,254.1
77.3,27,34,34,38,37,58,84,73,75,85,69,89,97,14.1,259.3,88.2
45.3,28,27,25,40,42,29,34,35,58,21,25,26,45,114.3,60.7,69.9
260.6,98,86,79,69,48,62,82,39,60,152,113,148,155,2,58.2,284.4
659.2,190,111,135,129,131,148,199,160,174,213,220,273,296,39,55.8,778.9
388.4,82,102,117,95,112,121,115,119,129,127,136,161,165,29.9,101.2,435.4
1357.1,16,9,11,8,18,18,38,29,51,60,68,64,74,23.3,362.5,1510.2
100.1,55,56,40,38,41,33,24,32,39,29,44,130,241,731,338.2,217.3
49.1,46,46,42,36,34,39,43,61,84,34,46,42,62,82.4,34.8,66.2
232.9,675,647,727,594,675,937,936,826,821,761,868,884,377,-50.5,-44.1,121.5
424.5,106,84,146,112,139,168,210,145,150,248,359,322,358,44.4,237.7,472.3
197.4,342,251,229,246,242,296,335,319,327,341,398,324,321,-5.9,-6.1,183.1
113.3,62,50,67,57,77,81,71,71,58,63,59,80,162,157.1,161.3,201.7
39.3,25,20,37,19,24,24,20,32,22,10,23,14,35,250,40,67
59.4,52,64,79,68,67,71,75,90,108,44,57,45,58,31.8,11.5,67.5
96,37,13,11,7,18,18,22,24,10,8,12,16,61,662.5,64.9,242.1
598.2,78,64,66,61,53,113,67,38,54,126,134,145,114,-9.5,46.2,525.3
75.3,77,66,95,89,89,104,105,113,112,95,108,98,80,-15.8,3.9,63.3
455.1,22,22,34,46,35,44,24,39,28,65,52,53,61,-6.2,177.3,480.3
172.8,55,76,68,66,69,80,89,107,102,124,133,133,96,-22.6,74.5,136.6
372.4,298,293,273,313,313,424,318,478,334,366,393,341,227,-38,-23.8,254.8
250.6,111,87,73,87,105,128,128,99,166,168,237,211,176,4.8,58.6,222.8
189.3,700,655,608,500,532,663,580,550,601,692,740,728,802,15.9,14.6,205
178.2,147,197,216,208,197,171,179,221,256,213,202,257,277,30,88.4,208.1
539.8,871,828,750,770,735,670,673,599,723,1172,1599,1859,1693,44.5,94.4,578.1
78.6,142,120,118,84,85,118,121,118,98,111,64,74,46,-58.6,-67.6,49
1165.3,1413,1245,1222,1103,1357,1646,1960,1977,1923,1973,2370,2222,2156,9.3,52.6,1152.3
1635.8,448,460,474,416,556,954,910,1191,1078,1111,1255,1390,1577,41.9,252,1935
205.5,234,248,215,249,299,436,444,410,470,420,415,496,559,33.1,138.9,243.1
307.2,454,421,361,330,371,489,578,582,525,595,591,629,594,-0.2,30.8,303.1
496.7,388,403,397,383,467,693,755,768,853,903,848,934,907,0.4,133.8,501.7
516.8,489,452,490,425,511,672,896,853,795,769,783,1000,956,24.3,95.5,563.3
714.6,377,409,348,339,418,608,587,714,756,772,888,1070,997,29.1,164.5,764.6
304.3,534,548,493,413,449,594,713,782,782,727,752,794,763,5,42.9,305.9
850.6,892,818,688,511,751,1117,1177,1236,1122,1208,1250,1302,1323,9.5,48.3,885.5
336.3,344,369,355,327,401,618,556,587,677,627,693,749,764,21.9,122.1,362.8
277.2,423,350,359,336,430,560,573,583,538,561,547,675,630,12.3,48.9,289.5
492.2,309,301,382,343,473,595,694,695,722,697,824,997,1099,57.7,255.7,598.3
313.2,226,272,230,298,311,456,523,509,487,564,682,782,697,23.6,208.4,320.5
662,547,551,483,487,581,858,812,882,876,972,988,1081,1185,21.9,116.6,742.5
1167.7,883,828,795,756,946,1132,1393,1570,1608,1755,1855,1687,1737,-1,96.7,1153.4
697.3,843,762,682,712,839,1008,1249,1393,1360,1268,1289,1463,1360,7.3,61.3,705
266.9,311,244,222,233,303,459,519,493,561,454,492,595,670,47.6,115.4,323.5
295.8,259,252,254,247,354,537,542,547,580,529,525,580,589,11.3,127.4,313.5
118.5,104,135,156,176,170,231,256,221,299,286,266,308,289,1,177.9,119.2
304,305,273,292,320,371,388,430,477,459,526,588,646,689,31,125.9,342.1
396.3,316,266,231,227,299,367,436,505,547,527,654,669,579,9.9,83.2,377.9
176.9,107,83,80,46,63,74,53,35,55,88,67,71,86,-2.3,-19.6,195
388.2,24,16,13,2,15,9,8,16,3,8,5,21,19,137.5,-20.8,558.8
NA,0,0,4,1,3,0,3,1,0,0,0,2,2,NA,NA,NA
280.1,353,324,359,234,209,298,309,281,285,286,265,227,292,2.1,-17.3,305.8
266.4,84,61,82,62,71,64,75,89,103,72,85,56,66,-8.3,-21.4,251.9
405,326,314,299,231,183,243,233,214,215,214,263,319,296,38.3,-9.2,439.2
625.5,780,689,648,628,537,539,677,649,625,607,744,750,846,39.4,8.5,718.2
119,42,29,47,36,34,38,58,50,58,51,47,66,72,41.2,71.4,145.2
715.6,804,630,740,827,603,623,692,669,690,619,774,648,698,12.8,-13.2,729.4
710.1,120,138,114,140,95,149,158,175,122,143,174,153,175,22.4,45.8,770.9
48.5,12,9,7,9,13,7,8,9,7,7,7,10,16,128.6,33.3,77.7
67.9,28,22,29,22,21,21,11,19,10,10,7,27,15,50,-46.4,68.8
702.4,83,65,59,42,41,54,66,59,70,83,86,90,98,18.1,18.1,771.7
353.3,48,100,93,69,55,49,39,42,49,56,64,91,110,96.4,129.2,484.6
298.8,66,102,113,73,46,44,74,66,49,58,69,92,81,39.7,22.7,322.7
445.9,670,629,583,565,366,396,511,502,515,503,529,522,558,10.9,-16.7,471.3
NA,39,20,33,26,35,36,48,31,32,30,27,47,30,0,-23.1,NA
49.1,6,5,6,2,8,0,2,2,4,3,2,5,1,-66.7,-83.3,17.5
232.1,107,104,71,80,84,80,77,91,102,89,73,116,75,-15.7,-29.9,197.4
171.7,188,185,221,171,247,201,221,198,233,180,219,264,261,45,38.8,194.1
275.6,28,34,31,33,22,52,56,68,44,41,27,48,65,58.5,132.1,396.3
302.4,214,152,154,168,187,200,198,184,188,190,205,265,298,56.8,39.3,376.3
333.3,43,37,46,34,27,58,42,55,53,47,30,56,55,17,27.9,390.1
191.8,153,108,112,105,108,112,103,151,127,98,133,161,241,145.9,57.5,292.1
303.7,142,119,106,90,124,153,146,185,170,176,141,159,174,-1.1,22.5,325.2
90,0,5,0,1,3,2,1,5,3,3,1,1,2,-33.3,NA,100
521.7,579,534,484,508,584,601,687,787,794,864,841,825,1022,18.3,76.5,600.5
300.6,0,100,73,70,78,72,92,82,117,98,105,119,113,15.3,NA,312.2
256,61,55,64,47,48,44,41,39,48,37,59,54,64,73,4.9,306.2
73.8,29,23,28,22,11,24,15,21,21,22,33,28,42,90.9,44.8,99.3
11.8,4,0,0,0,1,1,0,0,0,1,0,0,0,-100,-100,0
61,12,4,8,2,4,5,3,9,2,7,6,3,4,-42.9,-66.7,48.8
305,7,16,5,7,7,7,8,8,7,11,16,15,7,-36.4,0,175
76.4,15,11,10,8,7,8,10,10,14,11,14,14,23,109.1,53.3,113.3
69.8,9,8,4,11,11,1,12,7,15,13,19,12,21,61.5,133.3,90.5
70.6,3,0,0,0,0,1,0,1,0,0,1,3,1,NA,-66.7,58.8
311.3,18,11,6,14,15,10,18,24,18,22,24,46,40,81.8,122.2,377.4
56.2,3,2,1,7,1,2,10,9,5,2,5,5,6,200,100,75
102.7,15,10,9,16,13,13,17,18,17,18,31,24,20,11.1,33.3,88.5
214.6,15,52,49,57,62,52,57,58,56,53,81,50,75,41.5,400,248.3
104.6,40,60,72,48,62,43,48,61,60,52,60,44,45,-13.5,12.5,93.8
235.4,273,221,238,235,185,227,255,282,285,268,282,174,244,-9,-10.6,237.4
214.4,153,101,110,87,99,87,110,132,159,126,152,138,157,24.6,2.6,235
315.4,523,497,550,472,569,544,427,422,383,401,530,555,650,62.1,24.3,383.9
256.8,102,98,102,100,89,90,68,84,75,90,104,106,152,68.9,49,345.5
232.7,133,139,162,133,173,108,134,141,138,148,97,145,188,27,41.4,302.7
268.7,77,51,69,70,50,53,68,55,54,88,80,71,91,3.4,18.2,296.4
134.7,48,57,35,43,53,44,44,38,46,48,49,31,60,25,25,171.9
186.2,82,74,66,105,100,65,102,82,103,105,82,91,77,-26.7,-6.1,161.4
85.8,231,165,219,159,201,187,165,186,151,137,176,182,230,67.9,-0.4,109
52.8,128,65,95,57,50,51,47,45,46,26,32,45,60,130.8,-53.1,77.6
268.1,147,92,112,102,102,124,115,107,86,78,97,71,94,20.5,-36.1,296.5
654.7,781,628,601,577,622,591,734,654,524,531,582,504,609,14.7,-22,716.5
NA,0,1,0,1,2,1,0,0,2,0,0,0,0,NA,NA,NA
212,44,39,49,22,40,52,53,42,38,43,37,58,46,7,4.5,212
220.2,75,88,86,80,87,74,87,101,94,89,108,133,120,34.8,60,234.8
408.6,82,76,48,48,81,87,57,80,85,58,80,99,85,46.6,3.7,431.5
98.9,36,28,21,33,31,32,28,29,35,33,32,37,43,30.3,19.4,117.5
177.2,120,94,93,90,87,81,120,94,84,76,98,102,129,69.7,7.5,225.9
77.1,30,26,38,34,30,25,38,27,19,42,38,36,54,28.6,80,98
185.9,22,28,25,53,20,13,14,23,9,20,25,42,124,520,463.6,436.6
