place_chart,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,inc_19to22,inc_10to22,rate22
LAPD 77th Street^Division of Los Angeles PD^,122,117,129,127,152,148,180,160,133,136,122,131,105,-22.8,-13.9,56.1
LAPD Central^Division of Los Angeles PD^,58,46,74,66,99,132,135,160,148,161,127,147,127,-21.1,119,155.8
LAPD Devonshire^Division of Los Angeles PD^,60,56,40,50,72,77,88,82,84,57,48,47,39,-31.6,-35,17
LAPD Foothill^Division of Los Angeles PD^,79,57,61,69,85,82,81,65,79,65,49,49,46,-29.2,-41.8,23.5
LAPD Harbor^Division of Los Angeles PD^,47,58,74,48,77,61,95,91,86,61,63,71,64,4.9,36.2,35.4
LAPD Hollenbeck^Division of Los Angeles PD^,60,54,61,56,71,74,94,87,91,80,48,48,54,-32.5,-10,31.8
LAPD Hollywood^Division of Los Angeles PD^,109,107,121,94,133,152,156,183,148,130,102,120,114,-12.3,4.6,87.4
LAPD Mission^Division of Los Angeles PD^,64,73,82,70,93,109,107,104,102,62,70,70,77,24.2,20.3,30.9
LAPD Newton^Division of Los Angeles PD^,64,62,60,62,77,80,103,69,83,83,82,78,77,-7.2,20.3,51.5
LAPD North Hollywood^Division of Los Angeles PD^,69,77,70,68,75,97,96,93,99,90,62,68,66,-26.7,-4.3,31.3
LAPD Northeast^Division of Los Angeles PD^,58,43,62,71,83,79,90,80,76,63,49,49,40,-36.5,-31,18.4
LAPD Olympic^Division of Los Angeles PD^,60,57,68,78,89,114,96,96,117,95,100,81,92,-3.2,53.3,50.1
LAPD Pacific^Division of Los Angeles PD^,69,55,56,71,76,104,98,109,99,88,87,68,83,-5.7,20.3,38.2
LAPD Rampart^Division of Los Angeles PD^,97,98,95,81,81,109,135,116,102,115,75,82,101,-12.2,4.1,63.3
LAPD Southeast^Division of Los Angeles PD^,81,94,86,82,117,137,109,132,133,110,93,84,71,-35.5,-12.3,47.1
LAPD Southwest^Division of Los Angeles PD^,119,89,106,83,137,153,170,140,147,132,107,117,67,-49.2,-43.7,34.7
LAPD Topanga^Division of Los Angeles PD^,56,53,68,62,60,83,99,78,94,69,54,63,53,-23.2,-5.4,25.6
LAPD Van Nuys^Division of Los Angeles PD^,92,60,47,66,62,88,84,98,62,30,33,35,37,23.3,-59.8,19.7
LAPD West Los Angeles^Division of Los Angeles PD^,48,39,51,43,64,85,88,99,65,65,52,58,46,-29.2,-4.2,19
LAPD West Valley^Division of Los Angeles PD^,54,47,50,59,53,67,73,81,88,70,75,56,50,-28.6,-7.4,24.8
LAPD Wilshire^Division of Los Angeles PD^,55,32,59,47,69,79,86,84,89,66,55,60,71,7.6,29.1,46.3
Unincorporated Altadena^Area policed by LASD^,5,6,8,11,6,12,10,16,5,11,6,4,10,-9.1,100,22.7
Avalon^Area policed by LASD^,0,0,0,0,4,2,2,4,1,2,2,3,1,-50,NA,29.4
Unincorporated Avalon^Area policed by LASD^,1,1,0,0,0,0,0,0,0,0,0,2,0,NA,-100,NA
Carson^Area policed by LASD^,12,13,15,15,9,17,26,20,14,31,21,18,15,-51.6,25,15.7
Unincorporated Carson^Area policed by LASD^,5,1,1,2,5,6,4,4,10,8,6,3,2,-75,-60,7.6
Lynwood^Area policed by LASD^,15,11,24,14,11,20,31,16,22,21,17,20,21,0,40,31.2
Unincorporated Century^Area policed by LASD^,36,33,32,28,41,54,43,44,43,44,33,47,42,-4.5,16.7,35.7
Cerritos^Area policed by LASD^,3,4,8,4,2,7,5,4,13,10,14,10,9,-10,200,18.1
Compton^Area policed by LASD^,25,45,33,26,27,34,38,33,38,40,48,37,34,-15,36,35.5
Unincorporated Compton^Area policed by LASD^,10,12,3,7,4,7,9,5,6,7,13,7,10,42.9,0,44.1
La Canada Flintridge^Area policed by LASD^,2,2,1,0,0,7,0,1,2,2,3,1,2,0,0,9.7
