rate_prior4years,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,inc_19to22,inc_10to22,rate22
403.2,650,705,861,644,541,615,741,561,488,646,677,569,642,-0.6,-1.2,408.7
339.9,626,668,917,869,821,574,457,452,444,443,286,305,323,-27.1,-48.4,323.6
319.5,404,445,500,473,366,525,464,489,478,387,504,346,551,42.4,36.4,393.9
248.7,65,63,85,80,86,113,141,140,84,41,51,28,35,-14.6,-46.2,224.4
666.7,67,47,58,48,40,33,38,51,28,44,25,27,32,-27.3,-52.2,666.7
482.8,2068,2080,2247,1978,1531,1633,1977,1673,1470,1302,1639,1579,1563,20,-24.4,496.2
203.6,103,92,107,112,96,109,79,65,86,63,43,38,35,-44.4,-66,159.1
358.1,652,657,778,745,663,598,628,585,481,353,460,416,358,1.4,-45.1,323.1
643,2318,2359,2809,2673,2370,3164,2353,2136,2226,2029,1201,1239,1244,-38.7,-46.3,560.1
305.3,266,273,299,262,196,268,246,238,194,163,199,152,182,11.7,-31.6,319.3
401.8,1594,1410,1605,1412,1301,1476,1469,1351,1408,1123,1229,1529,1693,50.8,6.2,488.2
161,358,319,278,291,357,234,272,269,236,244,189,227,158,-35.2,-55.9,124.4
365.3,680,643,742,627,521,468,456,293,329,318,512,519,749,135.5,10.1,521.6
246.7,480,513,570,583,575,523,640,627,621,574,828,802,833,45.1,73.5,270.7
336.7,810,717,761,637,646,885,861,840,613,627,645,397,646,3,-20.2,375.8
230.4,188,187,208,166,132,143,129,128,136,101,53,87,99,-2,-47.3,268.3
294.6,78,95,85,75,92,80,107,117,97,82,73,74,141,72,80.8,449
267.2,239,264,350,315,262,216,331,323,242,222,184,174,258,16.2,7.9,329.1
298.2,135,229,196,153,148,139,148,142,111,96,94,68,77,-19.8,-43,274
270.2,355,310,342,361,341,332,322,299,265,230,217,192,269,17,-24.2,320.2
386.1,1274,1359,1837,1461,1747,1095,953,830,631,590,475,439,578,-2,-54.6,428.8
68.3,61,83,77,68,36,78,59,55,55,34,27,16,22,-35.3,-63.9,60.6
71,83,66,69,77,39,45,45,45,43,34,35,41,26,-23.5,-68.7,54.3
272,785,577,848,974,1172,1103,978,787,704,670,638,428,463,-30.9,-41,229.1
101.1,14,25,20,22,9,17,21,22,11,20,16,21,14,-30,0,79.5
352.6,151,139,121,137,127,130,120,130,94,83,121,170,162,95.2,7.3,426.3
585,65,52,61,44,94,71,67,42,36,51,78,52,53,3.9,-18.5,530
346.3,447,477,541,402,314,181,167,168,174,158,119,117,127,-19.6,-71.6,337.8
332.8,479,530,562,518,418,375,439,443,407,376,274,253,314,-16.5,-34.4,343.5
288.4,502,588,488,489,407,323,344,270,248,268,245,201,194,-27.6,-61.4,246.5
375.8,425,441,445,454,357,394,437,361,397,273,321,327,360,31.9,-15.3,422.5
710.2,74,80,80,108,57,52,73,73,54,41,56,90,148,261,100,1254.2
305.8,121,150,183,148,136,146,148,142,146,98,133,113,270,175.5,123.1,537.8
194.7,31,32,24,15,20,15,14,11,12,15,19,10,15,0,-51.6,197.4
152.6,129,101,129,133,61,120,121,85,73,61,33,42,66,8.2,-48.8,199.4
254.4,504,556,629,480,421,407,304,250,242,167,126,133,154,-7.8,-69.4,270.2
550.6,158,203,183,173,159,132,203,187,243,275,305,260,301,9.5,90.5,581.1
212.7,378,450,507,391,339,290,384,326,331,269,308,131,164,-39,-56.6,160
103.7,51,35,27,26,31,40,20,24,27,24,13,14,17,-29.2,-66.7,103.7
338.4,879,1173,1460,1374,1348,930,974,814,625,590,573,478,721,22.2,-18,413.2
214,804,1041,1099,872,686,764,697,563,542,483,475,381,445,-7.9,-44.7,213.5
350,83,77,105,77,53,74,75,83,55,55,43,35,52,-5.5,-37.3,393.9
475.8,173,144,173,166,171,184,103,112,125,125,106,114,127,1.6,-26.6,512.1
349.2,721,934,898,798,613,684,555,475,544,403,357,309,384,-4.7,-46.7,369.2
517.9,419,409,466,420,381,502,529,443,425,511,480,415,477,-6.7,13.8,524.8
200.9,150,152,223,172,139,152,150,185,185,140,94,130,185,32.1,23.3,270.9
129,167,160,139,205,154,217,202,182,110,100,100,92,73,-27,-56.3,103.3
208,NA,199,256,203,206,92,167,211,147,151,126,158,146,-3.3,NA,209.2
818.8,197,243,282,156,165,177,174,121,133,120,147,148,142,18.3,-27.9,835.3
477.3,278,351,382,355,248,248,234,254,191,179,150,116,118,-34.1,-57.6,400
685.8,256,272,265,223,189,293,246,264,213,177,166,88,71,-59.9,-72.3,388
90.1,45,34,53,34,18,18,38,22,22,15,7,7,11,-26.7,-75.6,99.1
207.6,551,467,424,358,273,200,232,182,123,135,58,65,90,-33.3,-83.7,214.8
596.7,875,1173,1052,1110,912,908,764,703,574,757,398,425,563,-25.6,-35.7,626.9
360.4,1843,2095,2018,1822,1638,1190,969,1148,1101,966,734,669,638,-34,-65.4,305.8
444.9,174,185,163,149,154,135,164,124,123,136,117,94,121,-11,-30.5,460.1
627,638,593,727,572,560,375,380,424,329,338,278,365,303,-10.4,-52.5,591.8
998.2,607,742,883,712,795,898,746,436,522,502,370,515,394,-21.5,-35.1,883.4
474,489,507,421,469,478,369,348,343,287,334,278,216,194,-41.9,-60.3,359.9
316.4,NA,316,731,570,445,443,476,368,399,406,320,290,314,-22.7,NA,298.8
247.8,82,115,123,87,98,78,134,124,60,43,61,61,63,46.5,-23.2,273.9
304.2,173,216,192,180,171,157,190,195,163,178,124,173,170,-4.5,-1.7,320.8
449.1,458,524,668,512,573,698,735,620,515,450,513,507,540,20,17.9,482.6
254.8,556,790,626,399,386,327,275,176,188,182,136,37,170,-6.6,-69.4,330.1
428.3,573,594,571,487,483,459,464,341,292,301,143,13,100,-66.8,-82.5,307.7
390.7,587,531,608,605,512,514,501,426,326,330,323,199,292,-11.5,-50.3,398.9
984.3,263,276,265,329,328,447,455,318,348,285,347,199,169,-40.7,-35.7,665.4
225,116,71,102,115,61,94,108,103,96,69,77,64,107,55.1,-7.8,304
227.6,20,12,22,30,29,34,22,35,21,9,15,7,22,144.4,10,379.3
267,258,233,255,185,152,189,237,197,190,188,161,113,212,12.8,-17.8,336
297.7,197,202,191,205,171,153,188,180,159,169,121,107,166,-1.8,-15.7,351
246,767,753,797,793,643,723,650,617,525,535,480,446,494,-7.7,-35.6,248.6
203.4,199,206,175,209,129,163,184,173,140,160,114,105,144,-10,-27.6,224
424.9,406,446,526,532,381,361,304,264,324,317,234,165,200,-36.9,-50.7,371.1
325.7,100,104,103,103,74,101,76,84,99,103,99,130,68,-34,-32,221.5
342.3,535,547,588,711,656,459,341,353,429,318,368,382,438,37.7,-18.1,398.2
142.1,107,118,188,95,100,113,124,95,104,105,73,86,102,-2.9,-4.7,158.4
253.6,233,265,271,262,317,263,263,202,160,172,122,105,154,-10.5,-33.9,282.6
236.8,359,410,397,381,422,434,241,190,175,136,82,71,71,-47.8,-80.2,186.8
872,197,221,239,288,249,254,326,284,337,355,409,253,305,-14.1,54.8,804.7
826.5,89,85,96,88,80,80,67,57,74,66,22,34,40,-39.4,-55.1,816.3
183.9,429,348,408,285,262,287,280,254,234,206,181,188,241,17,-43.8,217.3
122.2,168,193,216,156,147,155,160,158,157,121,112,108,117,-3.3,-30.4,124.9
286.8,1116,1067,1032,803,793,909,1119,929,910,854,1136,1163,405,-52.6,-63.7,130.6
260.9,592,685,694,596,573,427,417,299,279,230,196,134,231,0.4,-61,304.7
357.4,850,939,1058,830,780,897,885,720,723,710,641,502,653,-8,-23.2,372.5
297,237,243,240,213,193,217,229,288,243,241,283,211,219,-9.1,-7.6,272.7
103.4,87,75,102,71,45,53,61,62,66,57,56,62,41,-28.1,-52.9,78.5
129.8,161,140,227,150,127,134,135,166,139,108,124,90,124,14.8,-23,144.4
298.4,122,133,135,93,88,80,80,92,70,62,60,57,122,96.8,0,484.1
343.3,157,149,190,141,165,217,131,148,83,84,76,72,66,-21.4,-58,304.1
144.9,388,314,398,344,348,255,334,331,253,208,170,175,180,-13.5,-53.6,142.4
145.7,58,77,125,77,103,75,52,49,44,30,20,9,15,-50,-74.1,118.1
325,398,480,537,418,405,253,274,299,258,233,194,233,254,9,-36.2,361.3
286.4,878,788,836,792,549,454,400,449,405,304,281,216,220,-27.6,-74.9,246.9
432.7,495,514,633,589,544,570,673,586,500,368,363,296,340,-7.6,-31.3,430.4
325.2,2892,2673,2633,2405,1972,1880,1695,1711,1507,1454,1242,1128,1264,-13.1,-56.3,323.1
115.3,255,277,338,261,248,244,213,203,197,142,106,158,208,46.5,-18.4,156.3
320.2,1942,2202,2317,2219,1778,1719,1525,1358,1357,1142,902,795,912,-20.1,-53,311.4
144.4,349,273,331,307,256,236,224,194,154,112,129,131,170,51.8,-51.3,181.2
299.9,1289,1270,1295,1291,1029,956,791,986,946,705,493,557,490,-30.5,-62,261.9
660.1,220,257,226,198,244,351,324,376,361,357,617,538,640,79.3,190.9,785.3
337.1,1241,1224,1097,970,908,1179,1077,1149,972,767,676,737,920,19.9,-25.9,400.2
243.9,885,793,603,671,473,580,534,553,555,477,473,450,512,7.3,-42.1,261.2
313.1,901,853,787,768,740,909,774,822,695,571,606,510,577,1.1,-36,319.1
248.4,362,359,427,397,370,401,383,459,427,424,428,386,448,5.7,23.8,264
471.5,504,513,431,384,507,540,581,481,531,503,682,648,626,24.5,24.2,480.1
156,895,888,758,760,636,693,710,642,521,401,431,369,355,-11.5,-60.3,142.3
370,727,620,586,575,529,441,432,520,439,400,604,537,670,67.5,-7.8,448.5
420.6,955,873,827,772,724,794,874,884,910,947,815,820,961,1.5,0.6,456.3
308.7,777,725,687,718,721,848,794,831,869,745,662,604,676,-9.3,-13,310.7
364.6,628,542,549,498,632,643,652,693,616,476,700,655,848,78.2,35,461.6
480.4,1019,1242,1245,1100,1122,1081,1071,1062,1120,1051,1033,1022,1073,2.1,5.3,493.3
275.1,365,365,400,396,448,462,428,440,453,418,427,396,515,23.2,41.1,322.7
267.6,1198,1113,1055,1022,911,764,740,737,700,583,419,286,324,-44.4,-73,215.1
275.3,1287,1116,1064,926,962,935,795,858,757,577,498,518,531,-8,-58.7,275.3
385.7,867,918,816,891,903,983,1062,1026,886,834,747,765,849,1.8,-2.1,409.9
371.6,765,651,684,653,631,761,734,867,759,610,615,682,886,45.2,15.8,471.5
456.4,723,1064,961,935,910,1003,1000,1177,1455,1104,1128,1018,1175,6.4,62.5,484.7
404.2,1075,985,956,896,861,997,1110,1048,967,854,689,718,995,16.5,-7.4,494
574.5,795,903,948,866,870,849,893,1066,1084,862,1013,794,852,-1.2,7.2,556.1
176.4,288,210,227,193,162,116,160,156,133,114,50,61,86,-24.6,-70.1,195
200,21,13,11,13,26,12,2,13,9,7,7,3,10,42.9,-52.4,294.1
NA,3,0,0,3,1,0,0,1,0,1,0,2,0,-100,-100,NA
315.4,443,576,602,514,459,469,439,479,345,328,253,252,372,13.4,-16,389.5
475.2,151,157,154,159,166,188,190,203,135,138,117,113,130,-5.8,-13.9,496.2
219.3,392,429,351,325,235,294,246,293,228,189,102,157,143,-24.3,-63.5,212.2
223.9,748,659,711,606,514,419,418,520,369,280,285,208,282,0.7,-62.3,239.4
534.3,301,375,441,376,293,356,469,561,372,314,246,250,250,-20.4,-16.9,504
