place_chart,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Change since 2019,Change since 2010,2022 rate per 100K
LAPD 77th Street^Division of Los Angeles PD^,1260,1253,1113,988,1015,1052,1242,1313,1187,1138,959,959,1057,-7.1,-16.1,564.9
LAPD Central^Division of Los Angeles PD^,430,480,525,421,479,688,682,720,698,724,563,806,824,13.8,91.6,1011
LAPD Devonshire^Division of Los Angeles PD^,264,192,150,147,138,186,255,250,225,232,181,219,235,1.3,-11,102.2
LAPD Foothill^Division of Los Angeles PD^,312,253,211,182,190,194,245,265,246,241,193,179,180,-25.3,-42.3,91.8
LAPD Harbor^Division of Los Angeles PD^,321,288,270,227,232,308,372,343,324,308,263,283,289,-6.2,-10,159.8
LAPD Hollenbeck^Division of Los Angeles PD^,414,327,343,268,281,296,330,336,364,305,268,310,306,0.3,-26.1,180.3
LAPD Hollywood^Division of Los Angeles PD^,527,468,510,383,375,437,553,535,557,573,449,637,618,7.9,17.3,473.9
LAPD Mission^Division of Los Angeles PD^,431,374,344,330,292,285,421,381,371,312,281,259,274,-12.2,-36.4,109.9
LAPD Newton^Division of Los Angeles PD^,929,950,761,630,627,690,854,913,792,737,600,576,651,-11.7,-29.9,435.7
LAPD North Hollywood^Division of Los Angeles PD^,399,308,245,236,185,240,290,301,284,270,252,301,309,14.4,-22.6,146.7
LAPD Northeast^Division of Los Angeles PD^,438,319,322,232,299,318,308,320,321,259,237,270,328,26.6,-25.1,150.7
LAPD Olympic^Division of Los Angeles PD^,743,612,562,499,529,610,612,705,628,545,448,503,547,0.4,-26.4,297.8
LAPD Pacific^Division of Los Angeles PD^,350,291,297,282,247,263,342,283,280,276,289,308,284,2.9,-18.9,130.6
LAPD Rampart^Division of Los Angeles PD^,735,738,684,596,499,662,640,686,672,670,527,526,607,-9.4,-17.4,380.3
LAPD Southeast^Division of Los Angeles PD^,1028,1053,833,721,775,815,893,1067,913,883,731,594,690,-21.9,-32.9,458.2
LAPD Southwest^Division of Los Angeles PD^,945,965,777,739,744,817,827,875,876,717,569,521,499,-30.4,-47.2,258.7
LAPD Topanga^Division of Los Angeles PD^,258,196,161,158,194,219,314,344,309,268,223,218,268,0,3.9,129.4
