place_chart,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,inc_19to21,inc_10to21,rate21
Unincorporated Malibu/Lost Hills^Area policed by LASD^,0,0,0,0,0,0,0,0,4,0,0,1,NA,NA,4.4
Unincorporated Marina Del Rey^Area policed by LASD^,0,0,1,1,0,1,1,1,1,2,2,2,0,NA,6.6
La Mirada^Area policed by LASD^,0,0,2,1,1,0,2,2,1,0,-1,1,NA,NA,2.1
Norwalk^Area policed by LASD^,4,6,11,6,8,10,8,5,9,5,4,3,-40,-25,2.9
Unincorporated Norwalk^Area policed by LASD^,0,4,4,1,2,1,2,1,1,2,2,3,50,NA,4.5
Palmdale^Area policed by LASD^,8,11,7,10,10,7,9,4,5,9,10,8,-11.1,0,4.7
Unincorporated Palmdale^Area policed by LASD^,2,2,2,5,0,4,2,2,8,5,3,4,-20,100,9.1
Pico Rivera^Area policed by LASD^,2,7,1,3,5,4,3,1,4,3,4,5,66.7,150,8.1
Unincorporated Pico Rivera^Area policed by LASD^,3,0,5,3,0,3,2,1,3,1,0,0,-100,-100,0
San Dimas^Area policed by LASD^,0,0,0,0,0,1,0,0,1,0,2,3,NA,NA,8.6
Unincorporated San Dimas^Area policed by LASD^,3,1,2,2,4,2,2,1,3,2,0,1,-50,-66.7,2.1
Santa Clarita^Area policed by LASD^,1,5,2,2,2,7,3,4,4,2,3,4,100,300,1.9
Unincorporated Santa Clarita Valley^Area policed by LASD^,2,1,0,3,4,4,5,2,0,1,0,0,-100,-100,0
Lawndale^Area policed by LASD^,4,5,2,1,0,0,0,2,3,1,1,2,100,-50,6.3
Unincorporated South Los Angeles^Area policed by LASD^,22,16,16,20,15,25,16,20,10,16,17,28,75,27.3,32.9
Bradbury^Area policed by LASD^,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
Duarte^Area policed by LASD^,0,0,0,1,0,0,2,2,0,0,0,1,NA,NA,4.6
Rosemead^Area policed by LASD^,5,0,1,1,2,2,1,1,2,1,1,1,0,-80,2
