year,clearance
2000,50.5
2001,48.5
2002,44.4
2003,65.4
2004,62.2
2005,54.6
2006,56
2007,68.7
2008,60.8
2009,56.9
2010,41.6
2011,57.7
2012,62.4
2013,66.1
2014,57.5
2015,54.6
2016,55.6
2017,47.5
2018,50.1
2019,58.1
2020,49.3
2021,46.4
