year,clearance
2000,13.4
2001,13.1
2002,12.2
2003,16.7
2004,14.2
2005,14.5
2006,14.5
2007,14.1
2008,12.3
2009,11.6
2010,8.1
2011,10.8
2012,12.2
2013,12.5
2014,12.7
2015,12.8
2016,11.7
2017,11.5
2018,11.7
2019,14.5
2020,13.4
2021,13.3
