AREA NAME,DATE OCC,DR_NO
77th Street,2020,270
77th Street,2021,284
77th Street,2022,212
Central,2020,57
Central,2021,60
Central,2022,84
Devonshire,2020,12
Devonshire,2021,23
Devonshire,2022,19
Foothill,2020,50
Foothill,2021,34
Foothill,2022,49
Harbor,2020,72
Harbor,2021,78
Harbor,2022,68
Hollenbeck,2020,108
Hollenbeck,2021,114
Hollenbeck,2022,132
Hollywood,2020,35
Hollywood,2021,35
Hollywood,2022,47
Mission,2020,34
Mission,2021,43
Mission,2022,37
Newton,2020,113
Newton,2021,156
Newton,2022,156
N Hollywood,2020,25
N Hollywood,2021,36
N Hollywood,2022,36
Northeast,2020,41
Northeast,2021,65
Northeast,2022,31
Olympic,2020,33
Olympic,2021,25
Olympic,2022,33
Pacific,2020,26
Pacific,2021,31
Pacific,2022,25
Rampart,2020,59
Rampart,2021,34
Rampart,2022,50
Southeast,2020,242
Southeast,2021,252
Southeast,2022,179
Southwest,2020,79
Southwest,2021,88
Southwest,2022,83
Topanga,2020,15
Topanga,2021,12
Topanga,2022,8
Van Nuys,2020,15
Van Nuys,2021,24
Van Nuys,2022,27
West LA,2020,15
West LA,2021,11
West LA,2022,7
West Valley,2020,14
West Valley,2021,27
West Valley,2022,26
Wilshire,2020,23
Wilshire,2021,29
Wilshire,2022,24
