year,clearance
2000,9.7
2001,10.5
2002,10.6
2003,12.9
2004,12.1
2005,11.7
2006,10.1
2007,12.1
2008,11.3
2009,9.8
2010,8.1
2011,8.3
2012,9.9
2013,9.4
2014,9.9
2015,8.1
2016,7.5
2017,6.9
2018,6.5
2019,6.3
2020,6
2021,4.4
