DATE OCC,AREA ,AREA NAME,Part 1-2,Crm Cd,Crm Cd Desc,DR_NO
2010,16,Foothill,2,888,TRESPASSING,79
2017,20,Olympic,2,664,"BUNCO, PETTY THEFT",71
2012,11,Northeast,1,761,BRANDISH WEAPON,39
2010,15,N Hollywood,1,510,VEHICLE - STOLEN,797
2017,06,Hollywood,1,345,DISHONEST EMPLOYEE - GRAND THEFT,1
2012,10,West Valley,2,946,OTHER MISCELLANEOUS CRIME,84
2016,09,Van Nuys,1,220,ATTEMPTED ROBBERY,40
2017,18,Southeast,2,810,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",22
2014,11,Northeast,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),309
2014,02,Rampart,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),394
2014,14,Pacific,1,220,ATTEMPTED ROBBERY,30
2019,13,Newton,1,471,TILL TAP - PETTY ($950 & UNDER),3
2016,15,N Hollywood,2,661,UNAUTHORIZED COMPUTER ACCESS,8
2010,03,Southwest,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,716
2016,11,Northeast,2,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,43
2015,11,Northeast,2,624,BATTERY - SIMPLE ASSAULT,709
2018,17,Devonshire,1,122,"RAPE, ATTEMPTED",5
2010,15,N Hollywood,1,441,THEFT PLAIN - ATTEMPT,5
2014,17,Devonshire,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),419
2010,02,Rampart,2,664,"BUNCO, PETTY THEFT",8
2013,02,Rampart,1,440,THEFT PLAIN - PETTY ($950 & UNDER),537
2015,02,Rampart,2,886,DISTURBING THE PEACE,9
2013,18,Southeast,2,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,75
2011,15,N Hollywood,1,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),6
2019,19,Mission,2,890,FAILURE TO YIELD,17
2012,13,Newton,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",603
2011,01,Central,1,761,BRANDISH WEAPON,44
2015,05,Harbor,2,810,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",18
2015,07,Wilshire,1,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,7
2019,05,Harbor,1,441,THEFT PLAIN - ATTEMPT,5
2011,05,Harbor,1,110,CRIMINAL HOMICIDE,31
2010,13,Newton,2,624,BATTERY - SIMPLE ASSAULT,1050
