DATE OCC,AREA,AREA NAME,Part 1-2,Crm Cd,Crm Cd Desc,DR_NO
2021,17,Devonshire,1,320,"BURGLARY, ATTEMPTED",45
2022,04,Hollenbeck,2,760,LEWD/LASCIVIOUS ACTS WITH CHILD,1
2021,07,Wilshire,1,480,BIKE - STOLEN,93
2021,15,N Hollywood,2,906,FIREARMS RESTRAINING ORDER (FIREARMS RO),1
2020,21,Topanga,1,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),78
2022,02,Rampart,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",694
2020,05,Harbor,1,121,"RAPE, FORCIBLE",30
2021,14,Pacific,1,433,DRIVING WITHOUT OWNER CONSENT (DWOC),11
2020,21,Topanga,2,860,BATTERY WITH SEXUAL CONTACT,43
2020,15,N Hollywood,2,760,LEWD/LASCIVIOUS ACTS WITH CHILD,2
2022,10,West Valley,2,438,RECKLESS DRIVING,8
2020,06,Hollywood,1,820,ORAL COPULATION,12
2021,17,Devonshire,2,354,THEFT OF IDENTITY,638
2020,14,Pacific,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,369
2021,17,Devonshire,2,888,TRESPASSING,123
2022,16,Foothill,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),353
2020,20,Olympic,2,753,DISCHARGE FIREARMS/SHOTS FIRED,14
2020,02,Rampart,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),87
2021,04,Hollenbeck,2,932,PEEPING TOM,4
2022,20,Olympic,2,649,DOCUMENT FORGERY / STOLEN FELONY,45
2022,16,Foothill,2,830,INCEST (SEXUAL ACTS BETWEEN BLOOD RELATIVES),1
2020,17,Devonshire,2,664,"BUNCO, PETTY THEFT",24
2021,09,Van Nuys,2,949,ILLEGAL DUMPING,2
2020,12,77th Street,2,649,DOCUMENT FORGERY / STOLEN FELONY,24
2021,03,Southwest,2,921,HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE,1
2022,21,Topanga,2,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",30
2020,10,West Valley,2,661,UNAUTHORIZED COMPUTER ACCESS,10
2021,05,Harbor,1,350,"THEFT, PERSON",24
2021,05,Harbor,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,557
2021,11,Northeast,1,235,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,3
2022,06,Hollywood,1,350,"THEFT, PERSON",59
2021,18,Southeast,2,664,"BUNCO, PETTY THEFT",26
2020,17,Devonshire,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),208
2020,03,Southwest,2,653,"CREDIT CARDS, FRAUD USE ($950.01 & OVER)",1
2020,14,Pacific,2,902,VIOLATION OF TEMPORARY RESTRAINING ORDER,5
2022,20,Olympic,1,440,THEFT PLAIN - PETTY ($950 & UNDER),535
2022,02,Rampart,1,122,"RAPE, ATTEMPTED",6
2020,14,Pacific,1,820,ORAL COPULATION,8
2021,08,West LA,2,755,BOMB SCARE,11
2020,12,77th Street,2,922,CHILD STEALING,27
2022,16,Foothill,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,70
2020,09,Van Nuys,1,510,VEHICLE - STOLEN,896
2021,09,Van Nuys,2,806,PANDERING,24
2020,10,West Valley,2,649,DOCUMENT FORGERY / STOLEN FELONY,45
2022,09,Van Nuys,1,821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,3
2022,18,Southeast,2,666,"BUNCO, ATTEMPT",1
2021,03,Southwest,2,933,PROWLER,3
2021,20,Olympic,2,434,FALSE IMPRISONMENT,4
2020,11,Northeast,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),19
2021,21,Topanga,1,352,PICKPOCKET,4
2021,01,Central,1,450,THEFT FROM PERSON - ATTEMPT,10
2022,02,Rampart,2,755,BOMB SCARE,7
2021,16,Foothill,2,950,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $950.01",1
2021,14,Pacific,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",623
2022,08,West LA,2,813,CHILD ANNOYING (17YRS & UNDER),7
2020,12,77th Street,1,433,DRIVING WITHOUT OWNER CONSENT (DWOC),2
2022,01,Central,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,519
2020,15,N Hollywood,2,850,INDECENT EXPOSURE,10
2022,08,West LA,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",625
2022,21,Topanga,2,946,OTHER MISCELLANEOUS CRIME,49
2022,20,Olympic,2,437,RESISTING ARREST,4
2022,17,Devonshire,2,946,OTHER MISCELLANEOUS CRIME,61
2020,02,Rampart,1,433,DRIVING WITHOUT OWNER CONSENT (DWOC),1
2021,01,Central,1,421,THEFT FROM MOTOR VEHICLE - ATTEMPT,3
2022,03,Southwest,2,845,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,11
2020,03,Southwest,2,662,"BUNCO, GRAND THEFT",75
2021,12,77th Street,2,845,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,8
2021,09,Van Nuys,2,860,BATTERY WITH SEXUAL CONTACT,43
2020,13,Newton,2,437,RESISTING ARREST,5
2021,10,West Valley,1,820,ORAL COPULATION,1
2021,08,West LA,2,890,FAILURE TO YIELD,2
2020,16,Foothill,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,443
2022,03,Southwest,1,220,ATTEMPTED ROBBERY,58
2022,02,Rampart,1,310,BURGLARY,441
2020,10,West Valley,2,886,DISTURBING THE PEACE,14
2022,06,Hollywood,2,900,VIOLATION OF COURT ORDER,48
2021,16,Foothill,2,762,LEWD CONDUCT,2
2020,19,Mission,2,649,DOCUMENT FORGERY / STOLEN FELONY,42
2022,10,West Valley,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",324
2020,09,Van Nuys,2,623,BATTERY POLICE (SIMPLE),21
2021,06,Hollywood,2,437,RESISTING ARREST,25
2020,03,Southwest,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",708
2021,04,Hollenbeck,2,660,COUNTERFEIT,1
2021,04,Hollenbeck,2,946,OTHER MISCELLANEOUS CRIME,45
2021,14,Pacific,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",116
2022,10,West Valley,1,250,"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT",3
2022,09,Van Nuys,1,433,DRIVING WITHOUT OWNER CONSENT (DWOC),1
2022,03,Southwest,2,654,"CREDIT CARDS, FRAUD USE ($950 & UNDER",1
2022,20,Olympic,1,410,"BURGLARY FROM VEHICLE, ATTEMPTED",7
2020,05,Harbor,2,920,KIDNAPPING - GRAND ATTEMPT,1
2022,19,Mission,2,354,THEFT OF IDENTITY,874
2020,16,Foothill,2,753,DISCHARGE FIREARMS/SHOTS FIRED,32
2020,21,Topanga,1,330,BURGLARY FROM VEHICLE,542
2021,16,Foothill,2,438,RECKLESS DRIVING,3
2020,17,Devonshire,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,72
2022,15,N Hollywood,2,845,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,4
2022,01,Central,2,763,STALKING,3
2020,03,Southwest,2,943,CRUELTY TO ANIMALS,1
2020,21,Topanga,2,940,EXTORTION,16
2020,18,Southeast,2,753,DISCHARGE FIREARMS/SHOTS FIRED,53
2022,06,Hollywood,1,820,ORAL COPULATION,16
2022,08,West LA,1,820,ORAL COPULATION,11
2020,06,Hollywood,2,622,BATTERY ON A FIREFIGHTER,4
2022,07,Wilshire,1,648,ARSON,19
2022,02,Rampart,2,623,BATTERY POLICE (SIMPLE),30
2022,10,West Valley,1,522,"VEHICLE - MOTORIZED SCOOTERS, BICYCLES, AND WHEELCHAIRS",7
2022,04,Hollenbeck,2,661,UNAUTHORIZED COMPUTER ACCESS,1
2020,11,Northeast,2,624,BATTERY - SIMPLE ASSAULT,549
2022,19,Mission,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",422
2020,09,Van Nuys,1,250,"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT",1
2021,10,West Valley,2,762,LEWD CONDUCT,6
2022,08,West LA,1,520,VEHICLE - ATTEMPT STOLEN,7
2021,17,Devonshire,2,664,"BUNCO, PETTY THEFT",19
2021,18,Southeast,2,622,BATTERY ON A FIREFIGHTER,2
2020,05,Harbor,2,434,FALSE IMPRISONMENT,2
2022,06,Hollywood,1,410,"BURGLARY FROM VEHICLE, ATTEMPTED",6
2021,14,Pacific,2,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",247
2020,04,Hollenbeck,1,122,"RAPE, ATTEMPTED",2
2022,06,Hollywood,1,815,SEXUAL PENETRATION W/FOREIGN OBJECT,30
2021,17,Devonshire,2,649,DOCUMENT FORGERY / STOLEN FELONY,41
2020,09,Van Nuys,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),523
2020,21,Topanga,2,625,OTHER ASSAULT,26
2021,17,Devonshire,2,753,DISCHARGE FIREARMS/SHOTS FIRED,21
2020,17,Devonshire,1,487,BOAT - STOLEN,3
2022,18,Southeast,2,755,BOMB SCARE,2
2020,16,Foothill,1,410,"BURGLARY FROM VEHICLE, ATTEMPTED",6
2022,20,Olympic,1,522,"VEHICLE - MOTORIZED SCOOTERS, BICYCLES, AND WHEELCHAIRS",18
2021,05,Harbor,1,421,THEFT FROM MOTOR VEHICLE - ATTEMPT,13
2022,05,Harbor,2,920,KIDNAPPING - GRAND ATTEMPT,2
2020,17,Devonshire,2,647,THROWING OBJECT AT MOVING VEHICLE,7
2022,12,77th Street,1,821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,4
2022,02,Rampart,2,850,INDECENT EXPOSURE,19
2020,09,Van Nuys,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,91
2022,18,Southeast,2,870,CHILD ABANDONMENT,1
2020,13,Newton,1,440,THEFT PLAIN - PETTY ($950 & UNDER),401
2020,10,West Valley,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),147
2022,18,Southeast,2,622,BATTERY ON A FIREFIGHTER,6
2021,13,Newton,1,480,BIKE - STOLEN,17
2022,20,Olympic,2,763,STALKING,6
2022,09,Van Nuys,2,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,18
2020,06,Hollywood,2,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,12
2020,04,Hollenbeck,2,624,BATTERY - SIMPLE ASSAULT,732
2020,04,Hollenbeck,2,439,FALSE POLICE REPORT,2
2020,12,77th Street,1,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,15
2020,11,Northeast,1,330,BURGLARY FROM VEHICLE,656
2020,19,Mission,2,439,FALSE POLICE REPORT,2
2021,07,Wilshire,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,227
2021,19,Mission,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",76
2021,02,Rampart,2,900,VIOLATION OF COURT ORDER,68
2022,01,Central,2,438,RECKLESS DRIVING,6
2021,11,Northeast,1,251,SHOTS FIRED AT INHABITED DWELLING,11
2022,07,Wilshire,1,251,SHOTS FIRED AT INHABITED DWELLING,4
2022,09,Van Nuys,2,649,DOCUMENT FORGERY / STOLEN FELONY,32
2020,17,Devonshire,2,753,DISCHARGE FIREARMS/SHOTS FIRED,9
2022,18,Southeast,2,654,"CREDIT CARDS, FRAUD USE ($950 & UNDER",1
2020,14,Pacific,2,813,CHILD ANNOYING (17YRS & UNDER),10
2021,12,77th Street,1,820,ORAL COPULATION,16
2020,21,Topanga,1,251,SHOTS FIRED AT INHABITED DWELLING,4
2020,15,N Hollywood,2,813,CHILD ANNOYING (17YRS & UNDER),13
2021,14,Pacific,2,946,OTHER MISCELLANEOUS CRIME,117
2021,02,Rampart,1,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,12
2020,03,Southwest,2,900,VIOLATION OF COURT ORDER,102
2022,01,Central,2,950,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $950.01",2
2020,21,Topanga,1,440,THEFT PLAIN - PETTY ($950 & UNDER),464
2020,01,Central,2,434,FALSE IMPRISONMENT,3
2021,16,Foothill,2,437,RESISTING ARREST,9
2021,19,Mission,1,820,ORAL COPULATION,9
2020,15,N Hollywood,1,251,SHOTS FIRED AT INHABITED DWELLING,8
2020,09,Van Nuys,2,660,COUNTERFEIT,5
2021,18,Southeast,2,888,TRESPASSING,55
2020,12,77th Street,1,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),8
2021,19,Mission,2,653,"CREDIT CARDS, FRAUD USE ($950.01 & OVER)",1
2020,14,Pacific,1,353,DRUNK ROLL,4
2022,11,Northeast,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),164
2022,14,Pacific,2,850,INDECENT EXPOSURE,6
2021,07,Wilshire,2,354,THEFT OF IDENTITY,508
2020,21,Topanga,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),400
2020,14,Pacific,1,475,"THEFT, COIN MACHINE - ATTEMPT",1
2022,12,77th Street,2,850,INDECENT EXPOSURE,18
2021,03,Southwest,2,932,PEEPING TOM,7
2021,01,Central,2,670,"EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)",2
2020,18,Southeast,2,886,DISTURBING THE PEACE,3
2020,19,Mission,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),135
2021,03,Southwest,1,480,BIKE - STOLEN,185
2022,04,Hollenbeck,1,250,"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT",3
2020,10,West Valley,2,753,DISCHARGE FIREARMS/SHOTS FIRED,16
2021,13,Newton,1,320,"BURGLARY, ATTEMPTED",30
2022,01,Central,2,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",27
2022,01,Central,1,345,DISHONEST EMPLOYEE - GRAND THEFT,1
2020,20,Olympic,2,661,UNAUTHORIZED COMPUTER ACCESS,7
2022,06,Hollywood,2,943,CRUELTY TO ANIMALS,7
2020,14,Pacific,1,310,BURGLARY,953
2022,05,Harbor,1,480,BIKE - STOLEN,17
2022,03,Southwest,1,820,ORAL COPULATION,5
2022,14,Pacific,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),750
2021,12,77th Street,2,753,DISCHARGE FIREARMS/SHOTS FIRED,87
2021,01,Central,2,753,DISCHARGE FIREARMS/SHOTS FIRED,19
2020,19,Mission,1,821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,4
2020,12,77th Street,2,946,OTHER MISCELLANEOUS CRIME,124
2021,15,N Hollywood,2,805,PIMPING,1
2020,16,Foothill,1,122,"RAPE, ATTEMPTED",2
2021,16,Foothill,2,806,PANDERING,1
2022,17,Devonshire,2,954,CONTRIBUTING,1
2020,19,Mission,1,440,THEFT PLAIN - PETTY ($950 & UNDER),363
2022,12,77th Street,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",58
2020,13,Newton,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",828
2022,06,Hollywood,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",117
2020,08,West LA,2,438,RECKLESS DRIVING,2
2021,11,Northeast,2,649,DOCUMENT FORGERY / STOLEN FELONY,24
2021,05,Harbor,2,920,KIDNAPPING - GRAND ATTEMPT,4
2020,02,Rampart,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",648
2022,01,Central,2,810,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",1
2020,12,77th Street,2,670,"EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)",2
2021,12,77th Street,2,434,FALSE IMPRISONMENT,2
2020,18,Southeast,2,437,RESISTING ARREST,14
2022,18,Southeast,1,450,THEFT FROM PERSON - ATTEMPT,1
2022,13,Newton,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",43
2020,13,Newton,2,943,CRUELTY TO ANIMALS,1
2022,18,Southeast,2,921,HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE,5
2021,05,Harbor,1,443,SHOPLIFTING - ATTEMPT,4
2022,12,77th Street,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),299
2020,05,Harbor,2,922,CHILD STEALING,8
2020,17,Devonshire,1,410,"BURGLARY FROM VEHICLE, ATTEMPTED",5
2021,18,Southeast,1,351,PURSE SNATCHING,1
2020,10,West Valley,2,850,INDECENT EXPOSURE,4
2022,21,Topanga,2,888,TRESPASSING,122
2020,06,Hollywood,2,434,FALSE IMPRISONMENT,6
2020,13,Newton,2,810,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",18
2022,11,Northeast,2,931,"REPLICA FIREARMS(SALE,DISPLAY,MANUFACTURE OR DISTRIBUTE)",1
2021,13,Newton,1,250,"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT",3
2022,03,Southwest,2,660,COUNTERFEIT,1
2021,02,Rampart,2,888,TRESPASSING,88
2022,15,N Hollywood,2,664,"BUNCO, PETTY THEFT",25
2020,15,N Hollywood,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",638
2020,03,Southwest,1,235,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,6
2020,13,Newton,1,475,"THEFT, COIN MACHINE - ATTEMPT",2
2022,05,Harbor,2,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",9
2022,20,Olympic,2,814,CHILD PORNOGRAPHY,2
2021,20,Olympic,1,510,VEHICLE - STOLEN,1301
2020,15,N Hollywood,1,820,ORAL COPULATION,10
2020,19,Mission,1,210,ROBBERY,250
2020,14,Pacific,2,910,KIDNAPPING,3
2022,17,Devonshire,1,250,"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT",4
2022,02,Rampart,1,440,THEFT PLAIN - PETTY ($950 & UNDER),432
2020,20,Olympic,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,645
2022,01,Central,2,625,OTHER ASSAULT,134
2022,21,Topanga,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),499
2022,04,Hollenbeck,2,651,DOCUMENT WORTHLESS ($200.01 & OVER),1
2020,13,Newton,1,235,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,9
2022,15,N Hollywood,1,122,"RAPE, ATTEMPTED",2
2020,01,Central,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),396
2021,16,Foothill,2,910,KIDNAPPING,8
2022,05,Harbor,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,546
2022,09,Van Nuys,2,813,CHILD ANNOYING (17YRS & UNDER),13
2022,11,Northeast,2,903,CONTEMPT OF COURT,1
2022,20,Olympic,1,480,BIKE - STOLEN,61
2021,10,West Valley,1,122,"RAPE, ATTEMPTED",8
2021,03,Southwest,1,350,"THEFT, PERSON",85
2022,08,West LA,1,210,ROBBERY,154
2020,05,Harbor,2,623,BATTERY POLICE (SIMPLE),17
2020,19,Mission,2,903,CONTEMPT OF COURT,7
2020,09,Van Nuys,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,152
2021,13,Newton,1,352,PICKPOCKET,6
2022,13,Newton,2,662,"BUNCO, GRAND THEFT",37
2021,07,Wilshire,1,648,ARSON,26
2021,12,77th Street,1,480,BIKE - STOLEN,6
2021,12,77th Street,1,441,THEFT PLAIN - ATTEMPT,5
2021,16,Foothill,1,410,"BURGLARY FROM VEHICLE, ATTEMPTED",1
2022,01,Central,2,928,THREATENING PHONE CALLS/LETTERS,1
2022,12,77th Street,2,805,PIMPING,8
2021,14,Pacific,2,661,UNAUTHORIZED COMPUTER ACCESS,8
2022,13,Newton,2,845,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,11
2022,06,Hollywood,1,121,"RAPE, FORCIBLE",42
2020,01,Central,2,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,11
2020,09,Van Nuys,2,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,37
2022,15,N Hollywood,1,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,2
2021,06,Hollywood,1,250,"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT",1
2020,20,Olympic,2,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,25
2021,13,Newton,1,510,VEHICLE - STOLEN,1600
2022,17,Devonshire,2,949,ILLEGAL DUMPING,2
2022,04,Hollenbeck,1,815,SEXUAL PENETRATION W/FOREIGN OBJECT,16
2020,14,Pacific,2,661,UNAUTHORIZED COMPUTER ACCESS,2
2021,15,N Hollywood,2,922,CHILD STEALING,4
2022,10,West Valley,2,822,HUMAN TRAFFICKING - COMMERCIAL SEX ACTS,1
2020,19,Mission,1,330,BURGLARY FROM VEHICLE,448
2021,16,Foothill,2,763,STALKING,7
2021,07,Wilshire,2,933,PROWLER,1
2020,13,Newton,2,901,VIOLATION OF RESTRAINING ORDER,178
2022,13,Newton,2,944,CONSPIRACY,1
2020,10,West Valley,1,421,THEFT FROM MOTOR VEHICLE - ATTEMPT,10
2020,19,Mission,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,162
2021,01,Central,2,920,KIDNAPPING - GRAND ATTEMPT,4
2020,13,Newton,1,110,CRIMINAL HOMICIDE,35
2021,20,Olympic,1,648,ARSON,37
2021,08,West LA,1,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,1
2022,02,Rampart,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),312
2021,19,Mission,1,821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,4
2022,09,Van Nuys,2,940,EXTORTION,19
2022,04,Hollenbeck,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",595
2022,20,Olympic,2,434,FALSE IMPRISONMENT,4
2022,13,Newton,2,439,FALSE POLICE REPORT,1
2020,16,Foothill,2,651,DOCUMENT WORTHLESS ($200.01 & OVER),1
2020,20,Olympic,2,813,CHILD ANNOYING (17YRS & UNDER),8
2022,15,N Hollywood,2,756,WEAPONS POSSESSION/BOMBING,1
2021,04,Hollenbeck,2,904,FIREARMS EMERGENCY PROTECTIVE ORDER (FIREARMS EPO),1
2020,20,Olympic,2,949,ILLEGAL DUMPING,3
2020,10,West Valley,2,943,CRUELTY TO ANIMALS,1
2020,09,Van Nuys,1,648,ARSON,27
2020,15,N Hollywood,2,623,BATTERY POLICE (SIMPLE),23
2021,03,Southwest,2,438,RECKLESS DRIVING,3
2021,20,Olympic,1,440,THEFT PLAIN - PETTY ($950 & UNDER),632
2022,14,Pacific,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",442
2021,06,Hollywood,2,664,"BUNCO, PETTY THEFT",42
2020,06,Hollywood,2,624,BATTERY - SIMPLE ASSAULT,878
2022,08,West LA,1,821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,1
2021,04,Hollenbeck,1,815,SEXUAL PENETRATION W/FOREIGN OBJECT,11
2022,16,Foothill,1,122,"RAPE, ATTEMPTED",3
2020,20,Olympic,2,910,KIDNAPPING,12
2020,08,West LA,2,850,INDECENT EXPOSURE,16
2021,19,Mission,1,250,"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT",3
2021,15,N Hollywood,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,537
2021,15,N Hollywood,2,237,CHILD NEGLECT (SEE 300 W.I.C.),6
2022,02,Rampart,2,660,COUNTERFEIT,1
2020,18,Southeast,1,410,"BURGLARY FROM VEHICLE, ATTEMPTED",15
2021,18,Southeast,2,943,CRUELTY TO ANIMALS,9
