DATE OCC,AREA,AREA NAME,Part 1-2,Crm Cd,Crm Cd Desc,DR_NO
2022,09,Van Nuys,2,910,KIDNAPPING,4
2022,01,Central,1,310,BURGLARY,549
2021,07,Wilshire,1,220,ATTEMPTED ROBBERY,49
2022,02,Rampart,2,622,BATTERY ON A FIREFIGHTER,3
2021,19,Mission,1,761,BRANDISH WEAPON,109
2022,10,West Valley,2,924,TELEPHONE PROPERTY - DAMAGE,1
2021,13,Newton,1,433,DRIVING WITHOUT OWNER CONSENT (DWOC),4
2020,18,Southeast,1,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),1
2022,07,Wilshire,2,903,CONTEMPT OF COURT,2
2022,05,Harbor,1,235,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,3
2022,06,Hollywood,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),224
2022,08,West LA,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),301
2022,08,West LA,2,888,TRESPASSING,209
2021,12,77th Street,2,654,"CREDIT CARDS, FRAUD USE ($950 & UNDER",1
2021,21,Topanga,2,661,UNAUTHORIZED COMPUTER ACCESS,13
2020,14,Pacific,2,753,DISCHARGE FIREARMS/SHOTS FIRED,17
2020,07,Wilshire,1,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,95
2021,18,Southeast,1,441,THEFT PLAIN - ATTEMPT,3
2022,05,Harbor,2,652,DOCUMENT WORTHLESS ($200 & UNDER),1
2022,05,Harbor,2,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,76
2020,13,Newton,2,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,32
2020,03,Southwest,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",91
2022,12,77th Street,2,890,FAILURE TO YIELD,57
2022,07,Wilshire,1,250,"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT",1
2021,11,Northeast,2,755,BOMB SCARE,5
2022,20,Olympic,1,421,THEFT FROM MOTOR VEHICLE - ATTEMPT,8
2022,14,Pacific,2,651,DOCUMENT WORTHLESS ($200.01 & OVER),2
2022,12,77th Street,2,902,VIOLATION OF TEMPORARY RESTRAINING ORDER,4
2021,21,Topanga,1,351,PURSE SNATCHING,1
2020,01,Central,1,433,DRIVING WITHOUT OWNER CONSENT (DWOC),3
2022,10,West Valley,2,760,LEWD/LASCIVIOUS ACTS WITH CHILD,6
2021,16,Foothill,1,815,SEXUAL PENETRATION W/FOREIGN OBJECT,12
2021,11,Northeast,1,821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,3
2022,08,West LA,2,901,VIOLATION OF RESTRAINING ORDER,88
2021,19,Mission,1,441,THEFT PLAIN - ATTEMPT,2
2021,21,Topanga,2,850,INDECENT EXPOSURE,10
2020,13,Newton,1,352,PICKPOCKET,3
2021,17,Devonshire,2,901,VIOLATION OF RESTRAINING ORDER,105
2020,21,Topanga,2,624,BATTERY - SIMPLE ASSAULT,624
2020,21,Topanga,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,98
2021,16,Foothill,2,354,THEFT OF IDENTITY,424
2021,20,Olympic,1,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,6
2022,17,Devonshire,1,520,VEHICLE - ATTEMPT STOLEN,19
2020,02,Rampart,2,624,BATTERY - SIMPLE ASSAULT,903
2022,11,Northeast,1,210,ROBBERY,268
2020,06,Hollywood,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),241
2020,11,Northeast,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,87
