year,clearance
2000,37.1
2001,40.6
2002,52.9
2003,56.8
2004,56.2
2005,57.1
2006,56.9
2007,59.5
2008,56.8
2009,58.3
2010,37.9
2011,39.1
2012,60.2
2013,108
2014,75.8
2015,68.1
2016,73.4
2017,74
2018,76.4
2019,76.4
2020,55
2021,66.3
