year,clearance
2000,22.2
2001,21.2
2002,20.8
2003,27.6
2004,25.6
2005,25.3
2006,22.1
2007,29.6
2008,26.7
2009,22.9
2010,17.2
2011,20.6
2012,24.5
2013,23.4
2014,30.2
2015,30.6
2016,30.6
2017,31.4
2018,30.3
2019,30.8
2020,30.9
2021,28.8
