year,clearance
2000,10.6
2001,10.6
2002,7.6
2003,10.7
2004,7.7
2005,9.1
2006,7.8
2007,10.3
2008,5.9
2009,4.8
2010,2.8
2011,3.6
2012,5.7
2013,6.3
2014,8.1
2015,8.4
2016,8.6
2017,9.7
2018,11.2
2019,11.3
2020,8.6
2021,7.2
