year,clearance
2000,57.1
2001,58.3
2002,54.8
2003,68.6
2004,62.5
2005,53.1
2006,38.2
2007,42
2008,47.3
2009,38
2010,26.8
2011,30.6
2012,39.3
2013,40.3
2014,47.3
2015,48.2
2016,49.3
2017,47.4
2018,48
2019,48
2020,45.1
2021,45
