"LURN_SAK","INCIDENT_DATE","INCIDENT_REPORTED_DATE","CATEGORY","STAT","STAT_DESC","ADDRESS","STREET","CITY","ZIP","INCIDENT_ID","REPORTING_DISTRICT","SEQ","GANG_RELATED","UNIT_ID","UNIT_NAME","LONGITUDE","LATITUDE","PART_CATEGORY"
20075095,"11/09/2022 03:30:00 AM","11/09/2022","GRAND THEFT AUTO","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","3300 LAFAYETTE ST, ROSEMEAD, CA 91770","3300 LAFAYETTE ST","ROSEMEAD","91770","922-12771-0533","0533","12771","NO","CA0190005","TEMPLE",-118.093,34.068,1
20074744,"11/09/2022 07:55:00 AM","11/09/2022","LARCENY THEFT","089","GRAND THEFT: Other (From Boat, Plane, Prvt Res, Yard, Etc)","1800 NOGALES ST, ROWLAND HEIGHTS, CA 91748","1800 NOGALES ST","ROWLAND HEIGHTS","91748","922-08253-2935","2935","08253","NO","CA0190020","WALNUT",-117.888,33.985,1
20068977,"11/02/2022 07:15:00 AM","11/02/2022","FRAUD AND NSF CHECKS","112","FRAUD: Fraud By False Pretenses","3300 LENNOX CT, PALMDALE, CA 93551","3300 LENNOX CT","PALMDALE","93551","922-14860-2610","2610","14860","NO","CA01900W9","PALMDALE",-118.19,34.615,2
20072119,"11/03/2022 05:15:00 AM","11/06/2022","FRAUD AND NSF CHECKS","112","FRAUD: Fraud By False Pretenses","26600 GOLDENROD PL, CALABASAS, CA","26600 GOLDENROD PL","CALABASAS",,"922-06214-2242","2242","06214","NO","CA0190022","MALIBU/LOST HILLS",-118.704,34.132,2
20071557,"11/05/2022 01:40:00 PM","11/05/2022","NON-AGGRAVATED ASSAULTS","144","ASSAULT, NON-AGG: Hands, Feet, Fist, Etc.","500 N DIAMOND BAR BLVD, DIAMOND BAR, CA 91765","500 N DIAMOND BAR BLVD","DIAMOND BAR","91765","922-08156-2920","2920","08156","NO","CA0190020","WALNUT",-117.81,34.029,2
20072104,"11/06/2022 09:06:51 AM","11/06/2022","ROBBERY","037","ROBBERY, WEAPON: Other","1900 W ROSECRANS AVE, COMPTON, CA 90220","1900 W ROSECRANS AVE","COMPTON","90220","922-14469-2811","2811","14469","NO","CA0190042","COMPTON",-118.251,33.902,1
20070653,"11/04/2022 11:51:21 AM","11/04/2022","WARRANTS","285","WARRANTS: Felony, Out Of County",", SANTA MONICA, CA",,"SANTA MONICA",,"922-02271-5120","5120","02271","NO","CA0190026","INMATE RECEPTION CENTR",,,2
20069542,"11/03/2022 09:15:00 AM","11/03/2022","NARCOTICS","185","Misdemeanor Possessn of a Controlled Substance (excluding Marijuana)","1200 HACIENDA BLVD, LA PUENTE, CA","1200 HACIENDA BLVD","LA PUENTE",,"922-12424-1432","1432","12424","NO","CA0190014","INDUSTRY",-117.95,34.042,2
20070058,"11/03/2022 06:15:00 PM","11/03/2022","NARCOTICS","185","Misdemeanor Possessn of a Controlled Substance (excluding Marijuana)","PHOENIX DR AND STIMSON AVE, INDUSTRY, CA","PHOENIX DR AND STIMSON AVE","INDUSTRY",,"922-12453-1415","1415","12453","NO","CA0190014","INDUSTRY",-117.955,34.01,2
20082330,"11/17/2022 09:46:00 PM","11/18/2022","LARCENY THEFT","340","VEHICLE BURGLARY: Auto/Passenger Van Burglary","42300 10TH ST W, LANCASTER, CA","42300 10TH ST W","LANCASTER",,"922-19796-1124","1124","19796","NO","CA0190024","LANCASTER",-118.147,34.652,1
20069663,"11/01/2022 08:55:00 AM","11/03/2022","LARCENY THEFT","083","GRAND THEFT: Shoplifting (From Dept Store, Mkt Gas Sta)",,,,,"922-13336-0451","0451","13336","NO","CA0190004","NORWALK",,,1
20089670,"11/23/2022 12:30:00 PM","11/28/2022","LARCENY THEFT","089","GRAND THEFT: Other (From Boat, Plane, Prvt Res, Yard, Etc)","4300 PAXTON PL, CALABASAS, CA 91302","4300 PAXTON PL","CALABASAS","91302","922-06585-2244","2244","06585","NO","CA0190022","MALIBU/LOST HILLS",,,1
20088865,"11/26/2022 08:09:00 PM","11/27/2022","DISORDERLY CONDUCT","217","DISORDERLY CONDUCT: Telephone Annoyance","6500 MADELINE COVE DR, RANCHO PALOS VERDES, CA 90275","6500 MADELINE COVE DR","RANCHO PALOS VERDES","90275","922-04028-1735","1735","04028","NO","CA0190017","LOMITA",-118.393,33.771,2
20088621,"11/01/2022 12:00:00 AM","11/27/2022","GRAND THEFT AUTO","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","14400 MOCCASIN ST, LA PUENTE, CA 91744","14400 MOCCASIN ST","LA PUENTE","91744","922-13262-1430","1430","13262","NO","CA0190014","INDUSTRY",-117.972,34.04,1
20088196,"11/26/2022 05:01:00 PM","11/26/2022","VEHICLE / BOATING LAWS","255","VEHICLE AND BOATING LAWS: Misdemeanor","39400 10TH ST W, PALMDALE, CA","39400 10TH ST W","PALMDALE",,"922-15934-2612","2612","15934","NO","CA01900W9","PALMDALE",-118.146,34.599,2
20084922,"11/21/2022 08:59:00 PM","11/21/2022","VANDALISM","263","VANDALISM FELONY","2800 SAN RAMON DR, LANCASTER, CA","2800 SAN RAMON DR","LANCASTER",,"922-19975-1137","1137","19975","NO","CA0190024","LANCASTER",-118.078,34.679,2
20083872,"11/20/2022 12:09:00 PM","11/20/2022","GRAND THEFT AUTO","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","17800 GALE AVE, INDUSTRY, CA 91748","17800 GALE AVE","INDUSTRY","91748","922-13076-1416","1416","13076","NO","CA0190014","INDUSTRY",-117.914,33.995,1
20087896,"11/18/2022 01:00:00 AM","11/26/2022","GRAND THEFT AUTO","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","700 W KETTERING ST, LANCASTER, CA","700 W KETTERING ST","LANCASTER",,"922-20166-1122","1122","20166","NO","CA0190024","LANCASTER",-118.142,34.698,1
20084050,"11/20/2022 10:55:52 PM","11/20/2022","VEHICLE / BOATING LAWS","250","VEHICLE AND BOATING LAWS: Hit And Run, Misdemeanor",,,,,"922-16415-0610","0610","16415","NO","CA0190006","SANTA CLARITA VALLEY",,,2
20084673,"11/21/2022 04:40:35 PM","11/21/2022","VEHICLE / BOATING LAWS","251","VEHICLE AND BOATING LAWS: Hit And Run, Felony (Cause Inj Or Death)",,,,,"922-16454-0642","0642","16454","NO","CA0190006","SANTA CLARITA VALLEY",,,2
20084150,"11/21/2022 01:19:30 PM","11/21/2022","BURGLARY","071","BURGLARY, OTHER STRUCTURE: Night, Entry By Force","22400 GOLDEN SPRINGS RD, DIAMOND BAR, CA","22400 GOLDEN SPRINGS RD","DIAMOND BAR",,"922-08572-2934","2934","08572","NO","CA0190020","WALNUT",-117.824,34.003,1
20084756,"11/21/2022 05:59:42 PM","11/21/2022","VEHICLE / BOATING LAWS","250","VEHICLE AND BOATING LAWS: Hit And Run, Misdemeanor",,,,,"922-16457-0618","0618","16457","NO","CA0190006","SANTA CLARITA VALLEY",,,2
20084660,"11/21/2022 04:15:00 PM","11/21/2022","VEHICLE / BOATING LAWS","255","VEHICLE AND BOATING LAWS: Misdemeanor","20TH ST E AND PALMDALE BLVD, PALMDALE, CA","20TH ST E AND PALMDALE BLVD","PALMDALE",,"922-15713-2608","2608","15713","NO","CA01900W9","PALMDALE",-118.094,34.579,2
20080734,"11/16/2022 12:00:00 PM","11/16/2022","BURGLARY","064","BURGLARY, RESIDENCE: Day, Entry By Force","9400 LA ROSA DR, TEMPLE CITY, CA 91780","9400 LA ROSA DR","TEMPLE CITY","91780","922-13068-0524","0524","13068","NO","CA0190005","TEMPLE",-118.062,34.093,1
20085358,"11/22/2022 11:35:33 AM","11/22/2022","VEHICLE / BOATING LAWS","250","VEHICLE AND BOATING LAWS: Hit And Run, Misdemeanor",,,,,"922-16484-0631","0631","16484","NO","CA0190006","SANTA CLARITA VALLEY",,,2
20072754,"11/06/2022 01:10:00 AM","11/07/2022","DRUNK DRIVING VEHICLE / BOAT","242","DRUNK DRIVING - VEHICLE/BOAT: Alc/Drugs","37200 47TH ST E, PALMDALE, CA","37200 47TH ST E","PALMDALE",,"922-80129-2607","2607","80129","NO","CA01900W9","PALMDALE",-118.044,34.558,2
20069028,"11/02/2022 05:30:00 PM","11/02/2022","NARCOTICS","185","Misdemeanor Possessn of a Controlled Substance (excluding Marijuana)","20600 RUETHER AVE, SANTA CLARITA, CA 91350","20600 RUETHER AVE","SANTA CLARITA","91350","922-15559-0610","0610","15559","NO","CA0190006","SANTA CLARITA VALLEY",,,2
20070090,"11/03/2022 06:42:00 PM","11/03/2022","MISDEMEANORS MISCELLANEOUS","399","MISDEMEANORS, MISCELLANEOUS: All Other Misdemeanors","1200 HACIENDA BLVD, HACIENDA HEIGHTS, CA","1200 HACIENDA BLVD","HACIENDA HEIGHTS",,"922-12454-1473","1473","12454","NO","CA0190014","INDUSTRY",-117.964,34.007,2
20069226,"11/02/2022 08:50:00 PM","11/02/2022","NARCOTICS","185","Misdemeanor Possessn of a Controlled Substance (excluding Marijuana)","SOLEDAD CANYON RD AND VILNA AVE, SANTA CLARITA, CA","SOLEDAD CANYON RD AND VILNA AVE","SANTA CLARITA",,"922-15566-0613","0613","15566","NO","CA0190006","SANTA CLARITA VALLEY",-118.461,34.415,2
20069326,"11/03/2022 12:01:00 AM","11/03/2022","NARCOTICS","185","Misdemeanor Possessn of a Controlled Substance (excluding Marijuana)","18700 VIA PRINCESSA, CANYON COUNTRY, CA","18700 VIA PRINCESSA","CANYON COUNTRY",,"922-15575-0617","0617","15575","NO","CA0190006","SANTA CLARITA VALLEY",-118.463,34.405,2
20069336,"11/03/2022 12:28:00 AM","11/03/2022","NARCOTICS","185","Misdemeanor Possessn of a Controlled Substance (excluding Marijuana)","20600 GOLDEN TRIANGLE RD, CANYON COUNTRY, CA","20600 GOLDEN TRIANGLE RD","CANYON COUNTRY",,"922-15577-0610","0610","15577","NO","CA0190006","SANTA CLARITA VALLEY",-118.497,34.418,2
20069340,"11/03/2022 12:20:00 AM","11/03/2022","NARCOTICS","185","Misdemeanor Possessn of a Controlled Substance (excluding Marijuana)","27700 LAKE HUGHES RD, CASTAIC, CA 91384","27700 LAKE HUGHES RD","CASTAIC","91384","922-15579-0674","0674","15579","NO","CA0190006","SANTA CLARITA VALLEY",-118.624,34.497,2
20071400,"11/05/2022 02:30:00 AM","11/05/2022","BURGLARY","071","BURGLARY, OTHER STRUCTURE: Night, Entry By Force","5300 PARAMOUNT BLVD, LAKEWOOD, CA","5300 PARAMOUNT BLVD","LAKEWOOD",,"922-21879-1320","1320","21879","NO","CA0190013","LAKEWOOD",-118.159,33.854,1
20072488,"11/06/2022 07:00:00 PM","11/06/2022","FRAUD AND NSF CHECKS","112","FRAUD: Fraud By False Pretenses","4300 PARK MILANO, CALABASAS, CA 91302","4300 PARK MILANO","CALABASAS","91302","922-06223-2248","2248","06223","NO","CA0190022","MALIBU/LOST HILLS",-118.642,34.144,2
